Disease,Desciption
Spondylitis, contractures,Spondylitis,Spondylitis Also known as Inflammation Of The Vertebra Spondylitis is an inflammation of the vertebra. It is a form of spondylopathy. In many cases spondylitis involves one or more vertebral joints as well
Pituitary adenoma,Pituitary adenoma Pituitary adenomas are noncancerous tumors that occur in the pituitary gland. Pituitary adenomas are generally divided into three categories dependant upon their biological functioning: benign adenoma
Uterine fibroids,Uterine fibroids Also known as Fibroids
Idiopathic nonmenstrual bleeding,None
Chalazion,Chalazion Also known as Meibomian Cyst and Tarsal Cyst A chalazion (/kYÈlejziYn/; plural chalazia /kYÈlejziY/)
Ovarian torsion,Ovarian torsion Also known as Ovary Torsion
Retinopathy due to high blood pressure,Retinopathy due to high blood pressure Also known as Hypertensive Retinopathy Hypertensive retinopathy is damage to the retina and retinal circulation due to high blood pressure (i.e. hypertension). Source: Wikipedia
Vaginal yeast infection,Vaginal yeast infection Also known as Vaginal Candidiasis
Mastoiditis,Mastoiditis Mastoiditis is the result of an infection that extends to the air cells of the skull behind the ear. Specifically
Lung contusion,Lung contusion Also known as Pulmonary Contusion A pulmonary contusion (or lung contusion) is a contusion (bruise) of the lung
Hypertrophic obstructive cardiomyopathy (HOCM),Hypertrophic obstructive cardiomyopathy (HOCM) Also known as HCM
Ingrown toe nail, peeling,Ingrown toe nail,"Ingrown toe nail Also known as Ingrown Nail and Onychocryptosis Onychocryptosis (from Greek D½Å¾ onyx ""nail"" + ºÁÅÀÄÌÂ kryptos ""hidden"")"
Ingrown toe nail, peeling,Ingrown toe nail,"Ingrown toe nail Also known as Ingrown Nail and Onychocryptosis Onychocryptosis (from Greek D½Å¾ onyx ""nail"" + ºÁÅÀÄÌÂ kryptos ""hidden"")"
Pulmonary eosinophilia,Pulmonary eosinophilia Also known as Eosinophilic Pneumonia
Open wound of the hip,None
Corneal disorder,Corneal disorder Also known as Corneal Disease The cornea is the transparent front part of the eye that covers the iris
Foreign body in the gastrointestinal tract,None
Endophthalmitis,Endophthalmitis Endophthalmitis is an inflammation of the internal coats of the eye. It is a possible complication of all intraocular surgeries
Intestinal malabsorption,Intestinal malabsorption Also known as Steatorrhea and Fatty Stool Malabsorption is a state arising from abnormality in absorption of food nutrients across the gastrointestinal (GI) tract. Source: Wikipedia
Lead poisoning,Lead poisoning Also known as Plumbism and Saturnism Lead poisoning (also known as plumbism
Viral warts, peeling,Viral warts,Viral warts A wart is a small
Viral warts, peeling,Viral warts,Viral warts A wart is a small
Hyperhidrosis,Hyperhidrosis Hyperhidrosis is the condition characterized by abnormally increased sweating/perspiration
Stroke,Stroke Also known as Cva
Pilonidal cyst,Pilonidal cyst Also known as Pilonidal Sinus and Coccygeal Sinus A pilonidal cyst
Crushing injury,Crushing injury Also known as Crush Injury
Normal pressure hydrocephalus,Normal pressure hydrocephalus Also known as NPH and Hakim Syndrome Normal pressure hydrocephalus (NPH)
Alopecia, peeling,Alopecia,Alopecia Also known as Loss Of Hair and Baldness Alopecia (/ÌælYÈpiÐƒY/
Alopecia, peeling,Alopecia,Alopecia Also known as Loss Of Hair and Baldness Alopecia (/ÌælYÈpiÐƒY/
Hashimoto thyroiditis,Hashimoto thyroiditis Also known as Autoimmune Thyroiditis Hashimoto's thyroiditis or chronic lymphocytic thyroiditis is an autoimmune disease in which the thyroid gland is attacked by a variety of cell- and antibody-mediated immune processes. It was the first disease to be recognized as an autoimmune disease. It was first described by the Japanese specialist Hakaru Hashimoto in Germany in 1912. Source: Wikipedia
Flat feet,Flat feet Also known as Pes Planus
Nonalcoholic liver disease (NASH),None
Hemarthrosis,Hemarthrosis Also known as Joint Bleeding Hemarthrosis (or haemarthrosis
Pelvic organ prolapse,"Pelvic organ prolapse Prolapse literally means ""to fall out of place "" from the Latin prolabi meaning ""to fall out."" In medicine"
Fracture of the arm,None
Coagulation (bleeding) disorder,Coagulation (bleeding) disorder Also known as Coagulopathy
Intracranial hemorrhage,Intracranial hemorrhage Also known as Intracranial Bleeding An intracranial hemorrhage (ICH) is a hemorrhage
Hyperkalemia,Hyperkalemia Also known as Excess K
Cornea infection,None
Abscess of the lung,Abscess of the lung Also known as Lung Abscess and Pulmonary Abscess Lung abscess is necrosis of the pulmonary tissue and formation of cavities (more than 2 cm) containing necrotic debris or fluid caused by microbial infection. Source: Wikipedia
Dengue fever,Dengue fever Also known as Dengue and Breakbone Fever Dengue fever (UK /Èd[Kaej/ or US /Èd[KaiÐ/)
Chronic sinusitis,Chronic sinusitis Also known as Chronic Sinus Infection Sinusitis or rhinosinusitis is inflammation of the paranasal sinuses. It can be due to infection
Cholesteatoma,Cholesteatoma Cholesteatoma is a destructive and expanding growth consisting of keratinizing squamous epithelium in the middle ear and/or mastoid process. Source: Wikipedia
Volvulus,Volvulus Also known as Intestinal Volvulus
Injury to the finger,Injury to the finger Also known as Finger Injury You use your fingers and thumbs to do everything from grasping objects to playing musical instruments to typing on a keyboard. When there is something wrong with them
Poisoning due to analgesics,None
Atrial fibrillation,Atrial fibrillation Also known as AF
Pinworm infection,Pinworm infection Also known as Enterobiasis and Pinworm Disease A pinworm infection or enterobiasis is a human parasitic disease and one of the most common childhood parasitic worm infections in the developed world. It is caused by infestation of the parasitic roundworm Enterobius vermicularis
Urethral valves,None
Open wound of the neck,None
Achalasia,Achalasia Achalasia /ejkYÈlejziY/
Conductive hearing loss,Conductive hearing loss Also known as Conductive Deafness Conductive hearing loss occurs when there is a problem conducting sound waves anywhere along the route through the outer ear
Abdominal hernia,Abdominal hernia A hernia is the protrusion of an organ or the fascia of an organ through the wall of the cavity that normally contains it. There are different kinds of hernia
Cerebral palsy,Cerebral palsy Cerebral palsy (CP) is an umbrella term denoting a group of non-progressive
Marijuana abuse,Marijuana abuse Cannabis dependence is a condition defined in DSM-IV applying the general concept of substance dependence to cannabis. Source: Wikipedia
Cryptococcosis,Cryptococcosis Also known as Cryptococcus Neoformans
Obesity,Obesity Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health
Indigestion,"Indigestion Also known as Dyspepsia Dyspepsia (from the Greek ´ÅÃ- dys- and À­È¹Â pepsis ""digestion"")"
Bursitis,Bursitis Also known as Inflammation Of Bursa Bursitis is the inflammation of one or more bursae (small sacs) of synovial fluid in the body. The bursae rest at the points where internal functionaries
Esophageal cancer,Esophageal cancer Also known as Cancer Of Esophagus and Esophagus Cancer Esophageal cancer (or oesophageal cancer) is malignancy of the esophagus. There are various subtypes
Pulmonary congestion,Pulmonary congestion Also known as Chest Congestion and Lung Congestion Pulmonary edema (American English)
Juvenile rheumatoid arthritis,Juvenile rheumatoid arthritis Also known as JRA and Idiopathic Juvenile Arthritis Juvenile idiopathic arthritis (JIA)
Actinic keratosis, peeling,Actinic keratosis,"Actinic keratosis Also known as Solar Keratosis and Senile Keratosis Actinic keratosis (also called ""solar keratosis"" and ""senile keratosis"") is a premalignant condition of thick"
Actinic keratosis, peeling,Actinic keratosis,"Actinic keratosis Also known as Solar Keratosis and Senile Keratosis Actinic keratosis (also called ""solar keratosis"" and ""senile keratosis"") is a premalignant condition of thick"
Acute otitis media,"Acute otitis media Otitis media (Latin for ""inflammation of the middle ear"") is the medical term for middle ear infection. Although several subtypes of otitis media are distinguished"
Astigmatism,Astigmatism An optical system with astigmatism is one where rays that propagate in two perpendicular planes have different foci. If an optical system with astigmatism is used to form an image of a cross
Tuberous sclerosis,Tuberous sclerosis Also known as Brain Sclerosis
Empyema,Empyema An empyema (from Greek: ¼ÀÍ·¼±) is a collection of pus within a naturally existing anatomical cavity
Presbyacusis,Presbyacusis Also known as Age-related Hearing Loss Presbycusis (also spelt presbyacusis
Neonatal jaundice,Neonatal jaundice Also known as Baby Jaundice
Chronic obstructive pulmonary disease (COPD),Chronic obstructive pulmonary disease (COPD) Also known as COPD and Chronic Obstructive Lung Disease Chronic obstructive pulmonary disease (COPD)
Dislocation of the elbow,Dislocation of the elbow Also known as Elbow Dislocation and Dislocated Elbow A joint dislocation
Spondylosis,Spondylosis Spondylosis is a term referring to degenerative osteoarthritis of the joints between the centre of the spinal vertebrae and/or neural foraminae. If this condition occurs in the zygapophysial joints
Herpangina,Herpangina Also known as Aphthous Pharyngitis Herpangina
Injury to the shoulder, contractures,Injury to the shoulder,Injury to the shoulder Also known as Shoulder injury Your shoulder joint is composed of three bones: the clavicle (collarbone)
Injury to the shoulder, contractures,Injury to the shoulder,Injury to the shoulder Also known as Shoulder injury Your shoulder joint is composed of three bones: the clavicle (collarbone)
Poisoning due to antidepressants,None
Infection of open wound,Infection of open wound Also known as Wound Infection Infection is the invasion of a host organism's bodily tissues by disease-causing organisms
Deep vein thrombosis (DVT),Deep vein thrombosis (DVT) Also known as DVT and Deep Thrombophlebitis Deep vein thrombosis
Protein deficiency,Protein deficiency Proteins are essential nutrients for the human body. They are one of the building blocks of body tissue
Myoclonus,Myoclonus Also known as Myoclonic Disorder Myoclonus /majÈRklYnYs/ is a brief
Bone spur of the calcaneous,None
Von Willebrand disease,Von Willebrand disease Also known as Von Willebrand Disorder
Open wound of the back,None
Heart block,Heart block A heart block is a disease in the electrical system of the heart. This is opposed to coronary artery disease
Colonic polyp,Colonic polyp Also known as Colon Polyp and Polyp Of Colon A colorectal polyp is a polyp (fleshy growth) occurring on the lining of the colon or rectum. Untreated colorectal polyps can develop into colorectal cancer. Source: Wikipedia
Hypospadias,Hypospadias Hypospadias /hajpoŠÈspejdjYs/ is a birth defect of the urethra in the male that involves an abnormally placed urinary meatus (the opening
Magnesium deficiency,Magnesium deficiency Magnesium (Mg) deficiency is a detrimental plant disorder that occurs most often in strongly acidic
Female infertility of unknown cause,Female infertility of unknown cause Infertility is a term doctors use if a woman hasn t been able to get pregnant after at least one year of trying. If a woman keeps having miscarriages
Pericarditis,Pericarditis Also known as Inflammation Of The Membrane Surrounding The Heart Pericarditis is an inflammation of the pericardium (the fibrous sac surrounding the heart). A characteristic chest pain is often present. Source: Wikipedia
Attention deficit hyperactivity disorder (ADHD),Attention deficit hyperactivity disorder (ADHD) Also known as ADHD and Hyperkinetic Syndrome Attention deficit hyperactivity disorder (ADHD
Neuromyelitis optica,Neuromyelitis optica Also known as Devic Disease Neuromyelitis optica (NMO)
Pulmonic valve disease,None
Tietze syndrome,Tietze syndrome Also known as Costochondritis and Slipping Rib Syndrome Tietze syndrome is a benign inflammation of one or more of the costal cartilages. It was first described in 1921 by the German surgeon Alexander Tietze (1864 1927). Source: Wikipedia
Cranial nerve palsy,Cranial nerve palsy Also known as Cranial Neuropathy and Cranial Nerve Disease Disorders of one or more of the twelve cranial nerves. With the exception of the optic and olfactory nerves
Injury to the arm,Injury to the arm Also known as Arm Injury
Conversion disorder,Conversion disorder Also known as Conversion Reaction A conversion disorder causes patients to suffer from neurological symptoms
Complex regional pain syndrome,Complex regional pain syndrome Complex Regional Pain Syndrome (CRPS)
Otosclerosis,Otosclerosis Otosclerosis is an abnormal growth of bone near the middle ear. It can result in hearing loss. Source: Wikipedia
Injury to the trunk,None
Hypothyroidism,Hypothyroidism Hypothyroidism /ÌhajpuÈ¸ajYrTjdjzYm/ is a state in which the thyroid gland does not make enough thyroid hormone. Source: Wikipedia
Primary insomnia,Primary insomnia Insomnia
Lice,Lice Also known as Pediculosis and Lice Infestation Louse (plural: lice) is the common name for members of over 3
Vitamin B12 deficiency,Vitamin B12 deficiency Also known as Cobalamin Deficiency and Cyanocobalamin Deficiency Vitamin B12 deficiency or hypocobalaminemia is a low blood level of vitamin B12. It can cause permanent damage to nervous tissue if left untreated longer than 6 months. Vitamin B12 itself was discovered through investigation of pernicious anemia
Diabetes,Diabetes Diabetes mellitus
Vulvodynia,Vulvodynia Vulvodynia is a chronic pain syndrome that affects the vulvar area and often occurs without an identifiable cause or visible pathology categorized in the ICD-9 group 625 specifically ICD-9 625.7
Endometriosis,Endometriosis Also known as Displaced endometrial tissue Endometriosis is a gynecological medical condition in which cells from the lining of the uterus (endometrium) appear and flourish outside the uterine cavity
Vasculitis,Vasculitis Also known as Angiitis Vasculitis (plural: vasculitides) is a group of disorders that destroy blood vessels by inflammation. Both arteries and veins are affected. Lymphangitis is sometimes considered a type of vasculitis. Vasculitis is primarily due to leukocyte migration and resultant damage. Source: Wikipedia
Concussion,Concussion Also known as Cerebral Concussion and Commotio Cerebri Concussion
Oral leukoplakia,Oral leukoplakia Also known as Oral Keratosis Leukoplakia (also termed leucoplakia
Chronic kidney disease,Chronic kidney disease Chronic kidney disease (CKD)
Bladder disorder,Bladder disorder Also known as Disease Of The Bladder and Bladder Disease Urinary bladder disease can be congenital or acquired. Source: Wikipedia
Chorioretinitis,Chorioretinitis Also known as Retinochoroiditis Chorioretinitis is an inflammation of the choroid (thin pigmented vascular coat of the eye) and retina of the eye. It is a form of posterior uveitis. If only the choroid is inflamed and not the retina
Priapism,Priapism Priapism (/ÈprajYpjzYm/) a potentially painful medical condition
Myositis,Myositis Also known as Inflammatory Muscle Disease Myositis is a general term for inflammation of the muscles. Many such conditions are considered likely to be caused by autoimmune conditions
Mononucleosis,Mononucleosis Also known as Infectious Mononucleosis
Neuralgia,Neuralgia Neuralgia is pain in one or more nerves caused by a change in neurological structure or function of the nerves rather than by excitation of healthy pain receptors. Neuralgia falls into two categories: central neuralgia
Polycystic kidney disease,Polycystic kidney disease Also known as Polycystic Renal Disease and Congenital Polycystic Kidney Polycystic kidney disease (PKD or PCKD
Bipolar disorder,Bipolar disorder Also known as Manic Depression
Amyloidosis,Amyloidosis Also known as Amyloid Disease In medicine
Chronic inflammatory demyelinating polyneuropathy (CIDP),Chronic inflammatory demyelinating polyneuropathy (CIDP) Also known as CIDP Chronic inflammatory demyelinating polyneuropathy (CIDP) is an acquired immune-mediated inflammatory disorder of the peripheral nervous system. The disorder is sometimes called chronic relapsing polyneuropathy or chronic inflammatory demyelinating polyradiculoneuropathy (because it involves the nerve roots). CIDP is closely related to Guillain-Barré syndrome and it is considered the chronic counterpart of that acute disease. Its symptoms are also similar to progressive inflammatory neuropathy. An asymmetrical variant of CIDP is known as Lewis-Sumner syndrome. Source: Wikipedia
Gastroesophageal reflux disease (GERD),Gastroesophageal reflux disease (GERD) Also known as Reflux and GERD Gastroesophageal reflux disease (GERD)
Vitreous hemorrhage,Vitreous hemorrhage Vitreous hemorrhage is the extravasation
Poisoning due to antimicrobial drugs,None
Open wound of the mouth,None
Scleroderma, peeling,Scleroderma,"Scleroderma Also known as Dermatosclerosis Scleroderma is a chronic systemic autoimmune disease (primarily of the skin -""derma"") characterized by fibrosis (or hardening -""sclero"")"
Scleroderma, peeling,Scleroderma,"Scleroderma Also known as Dermatosclerosis Scleroderma is a chronic systemic autoimmune disease (primarily of the skin -""derma"") characterized by fibrosis (or hardening -""sclero"")"
Myasthenia gravis,"Myasthenia gravis Also known as MG Myasthenia gravis (from Greek ¼ÍÂ ""muscle"""
Hypoglycemia,Hypoglycemia Also known as Low Blood Sugar Level Hypoglycemia (also spelled hypoglycaemia or hypoglycæmia
Idiopathic absence of menstruation,None
Dislocation of the ankle,Dislocation of the ankle Also known as Ankle Dislocation and Dislocated Ankle A joint dislocation
Carbon monoxide poisoning,Carbon monoxide poisoning Also known as Carbon Monoxide Toxicity Carbon monoxide poisoning occurs after enough inhalation of carbon monoxide (CO). Carbon monoxide is a toxic gas
Panic attack,Panic attack Panic attacks are periods of intense fear or apprehension that are of sudden onset and of variable duration from minutes to hours. Panic attacks usually begin abruptly
Plantar fasciitis,Plantar fasciitis Also known as Policeman's Heel Plantar fasciitis (PF) is a painful inflammatory process of the plantar fascia
Hyperopia,Hyperopia Also known as Farsightedness and Hypermetropia Hyperopia
Poisoning due to sedatives,None
Pemphigus,Pemphigus Pemphigus (/Èp[mfjaYs/ or /p[mÈfajaYs/) is a rare group of blistering autoimmune diseases that affect the skin and mucous membranes. Source: Wikipedia
Peyronie disease,"Peyronie disease Also known as Penile Fibrosis and Induratio Penis Plastica Peyronie's Disease (also known as ""Induratio penis plastica"""
Hiatal hernia,Hiatal hernia Also known as Diaphragmatic Hernia A hiatus hernia or hiatal hernia is the protrusion (or herniation) of the upper part of the stomach into the thorax through a tear or weakness in the diaphragm. Source: Wikipedia
Extrapyramidal effect of drugs,None
Meniere disease,Meniere disease Also known as Otogenic Vertigo Meniere's disease can cause severe dizziness
Anal fissure,Anal fissure Also known as Anal Ulcer An anal fissure is a break or tear in the skin of the anal canal. Anal fissures may be noticed by bright red anal bleeding on toilet paper
Allergy,Allergy Also known as Hypersensitivity and Hypersensitivity Reaction An allergy is a hypersensitivity disorder of the immune system. Allergic reactions occur when a person's immune system reacts to normally harmless substances in the environment. A substance that causes a reaction is called an allergen. These reactions are acquired
Chronic otitis media,None
Fracture of the finger,None
Hirschsprung disease,Hirschsprung disease Also known as Aganglionosis
Polymyalgia rheumatica,"Polymyalgia rheumatica Also known as PMR Polymyalgia rheumatica (which takes its name from the word ""polymyalgia"" which means ""pain in many muscles"" in Greek followed by the term ""rheumatica"") abbreviated as PMR"
Lymphedema, peeling,Lymphedema,Lymphedema Lymphedema (lymphoedema in British English)
Lymphedema, peeling,Lymphedema,Lymphedema Lymphedema (lymphoedema in British English)
Bladder cancer,Bladder cancer Also known as Cancer Of Bladder
Acute bronchospasm,Acute bronchospasm Also known as Bronchial Spasm Spasmodic contraction of the smooth muscle of the bronchi. Source: MeSH
Acute glaucoma,"Acute glaucoma Also known as Narrow-angle Glaucoma and Angle-closure Glaucoma Glaucoma is a term describing a group of ocular disorders with multi-factorial etiology united by a clinically characteristic intraocular pressure-associated optic neuropathy. This can permanently damage vision in the affected eye(s) and lead to blindness if left untreated. It is normally associated with increased fluid pressure in the eye (aqueous humour). The term ""ocular hypertension"" is used for people with consistently raised intraocular pressure (IOP) without any associated optic nerve damage. Conversely"
Open wound of the chest,None
Dislocation of the patella,Dislocation of the patella Also known as Patella Dislocation
Sciatica,Sciatica Also known as Ischia and Sciatic Neuralgia Sciatica (/sajÈætjkY/; sciatic neuritis
Hypercalcemia,Hypercalcemia Hypercalcaemia (British English) or hypercalcemia (American English) is an elevated calcium (Ca+) level in the blood. (Normal range: 9 10.5 mg/dL or 2.2 2.6 mmol/L). It can be an asymptomatic laboratory finding
Stress incontinence,Stress incontinence Also known as Urinary Stress Incontinence Stress incontinence is a form of urinary incontinence. Source: Wikipedia
Varicose veins,Varicose veins Also known as Varicose Vein
Benign kidney cyst,Benign kidney cyst Also known as Cyst Of Kidney and Simple Renal Cyst A cyst is a fluid-filled sac. There are two types of kidney cysts. Polycystic kidney disease (PKD) runs in families. In PKD
Hydrocele of the testicle,Hydrocele of the testicle Also known as Testis Hydrocele Accumulation of serous fluid between the layers of membrane (tunica vaginalis) covering the TESTIS in the SCROTUM. Source: MeSH
Degenerative disc disease,Degenerative disc disease Also known as Disk Degeneration and Intervertebral Disc Degeneration Degeneration of one or more intervertebral disc(s) of the spine
Hirsutism,Hirsutism Also known as Hypertrichosis
Dislocation of the foot,None
Hydronephrosis,"Hydronephrosis Hydronephrosis  literally ""water inside the kidney""  refers to distension and dilation of the renal pelvis and calyces"
Diverticulosis,Diverticulosis Also known as Intestinal Diverticulum Diverticulosis
Pain after an operation,Pain after an operation Also known as Postoperative Pain Pain is an unpleasant feeling often caused by intense or damaging stimuli
Huntington disease,Huntington disease Also known as Huntington Chorea Huntington's disease (HD) is a neurodegenerative genetic disorder that affects muscle coordination and leads to cognitive decline and psychiatric problems. It typically becomes noticeable in mid-adult life. HD is the most common genetic cause of abnormal involuntary writhing movements called chorea
West Nile virus,West Nile virus Also known as West Nile Fever West Nile virus (WNV) is a mosquito-borne zoonotic arbovirus belonging to the genus Flavivirus in the family Flaviviridae. This flavivirus is found in temperate and tropical regions of the world. It was first identified in the West Nile subregion in the East African nation of Uganda in 1937. Prior to the mid-1990s
Lymphoma,Lymphoma Also known as Malignant Lymphoma Lymphoma is a type of blood cancer that occurs when B or T lymphocytes
Dermatitis due to sun exposure, peeling,Dermatitis due to sun exposure,None
Dermatitis due to sun exposure, peeling,Dermatitis due to sun exposure,None
Anemia due to chronic kidney disease,None
Injury to internal organ,None
Scleritis,Scleritis Scleritis is a serious inflammatory disease that affects the white outer coating of the eye
Pterygium,Pterygium Also known as Eye Webbing Pterygium refers to any winglike triangular membrane occurring in the neck
Fungal infection of the skin, peeling,Fungal infection of the skin,Fungal infection of the skin Also known as Dermatomycosis
Fungal infection of the skin, peeling,Fungal infection of the skin,Fungal infection of the skin Also known as Dermatomycosis
Insulin overdose,None
Syndrome of inappropriate secretion of ADH (SIADH),Syndrome of inappropriate secretion of ADH (SIADH) A condition of HYPONATREMIA and renal salt loss attributed to overexpansion of BODY FLUIDS resulting from sustained release of ANTIDIURETIC HORMONES which stimulates renal resorption of water. It is characterized by normal KIDNEY function
Foreign body in the ear,None
Premenstrual tension syndrome,Premenstrual tension syndrome Also known as PMS
Orbital cellulitis,Orbital cellulitis Orbital cellulitis is an inflammation of eye tissues posterior to the orbital septum. It most commonly refers to an acute spread of infection into the eye socket from either the adjacent sinuses or through the blood. When it affects the rear of the eye
Injury to the leg,Injury to the leg Also known as Leg Injury and Lower Limb Injury General or unspecified injuries involving the leg. Source: MeSH
Hepatic encephalopathy,Hepatic encephalopathy Also known as Portosystemic Encephalopathy and Coma Hepaticum Hepatic encephalopathy (also known as portosystemic encephalopathy) is the occurrence of confusion
Bone cancer,Bone cancer Also known as Cancer Of Bone and Malignant Neoplasm Of Bone A bone tumor
