Disease,CommonTestAndProcedure
Atrophic vaginitis,Depression screen (Depression screening)
Fracture of the hand,Radiographic imaging procedure
Fracture of the hand,Plain x-ray (X ray)
Fracture of the hand,Application of splint (Splinting)
Fracture of the hand,Orthopedic casting
Fracture of the hand,Traction; splints; and other wound care
Fracture of the hand,Physical therapy exercises (Exercises)
Fracture of the hand,Other non-OR therapeutic procedures on musculoskeletal system
Fracture of the hand,Occupational therapy assessment (Speech therapy)
Cellulitis or abscess of mouth,Complete physical skin exam performed (ML)
Cellulitis or abscess of mouth,Excision (Removal)
Cellulitis or abscess of mouth,Incision and drainage (I d)
Cellulitis or abscess of mouth,Biopsy
Cellulitis or abscess of mouth,Wound care management
Cellulitis or abscess of mouth,Culture wound
Cellulitis or abscess of mouth,Other OR therapeutic procedures on nose; mouth and pharynx
Cellulitis or abscess of mouth,Diagnostic procedures on nose; mouth and pharynx
Eye alignment disorder,Ophthalmologic and otologic diagnosis and treatment
Eye alignment disorder,Other diagnostic procedures (interview; evaluation; consultation)
Eye alignment disorder,Other therapeutic procedures on eyelids; conjunctiva; cornea
Eye alignment disorder,Other therapeutic procedures
Eye alignment disorder,Ophthalmic examination and evaluation (Eye exam)
Eye alignment disorder,Other extraocular muscle and orbit therapeutic procedures
Eye alignment disorder,Occupational therapy assessment (Speech therapy)
Eye alignment disorder,Referral to home health care service
Headache after lumbar puncture,Intravenous fluid replacement
Headache after lumbar puncture,Complete blood count (Cbc)
Headache after lumbar puncture,Hematologic tests (Blood test)
Headache after lumbar puncture,Electrolytes panel
Headache after lumbar puncture,Glucose measurement (Glucose level)
Headache after lumbar puncture,Kidney function tests (Kidney function test)
Headache after lumbar puncture,Liver function tests (Liver test)
Headache after lumbar puncture,Prothrombin time assay (Prothrombin time)
Pyloric stenosis,Radiographic imaging procedure
Pyloric stenosis,Hematologic tests (Blood test)
Pyloric stenosis,Complete blood count (Cbc)
Pyloric stenosis,Intravenous fluid replacement
Pyloric stenosis,Electrolytes panel
Pyloric stenosis,Glucose measurement (Glucose level)
Pyloric stenosis,Kidney function tests (Kidney function test)
Pyloric stenosis,Nebulizer therapy
Salivary gland disorder,Complete physical skin exam performed (ML)
Salivary gland disorder,Other diagnostic procedures (interview; evaluation; consultation)
Salivary gland disorder,Biopsy
Salivary gland disorder,Excision (Removal)
Salivary gland disorder,Diagnostic procedures on nose; mouth and pharynx
Salivary gland disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Salivary gland disorder,Physical therapy exercises (Exercises)
Salivary gland disorder,Other diagnostic procedures on skin and subcutaneous tissue
Osteochondrosis,Plain x-ray (X ray)
Osteochondrosis,Radiographic imaging procedure
Osteochondrosis,Physical therapy exercises (Exercises)
Osteochondrosis,Examination of foot
Osteochondrosis,Other diagnostic procedures (interview; evaluation; consultation)
Osteochondrosis,Application of splint (Splinting)
Osteochondrosis,Physical therapy exercises; manipulation; and other procedures
Osteochondrosis,Orthopedic casting
Injury to the knee,Radiographic imaging procedure
Injury to the knee,Plain x-ray (X ray)
Injury to the knee,Magnetic resonance imaging (Mri)
Injury to the knee,Application of splint (Splinting)
Injury to the knee,Physical therapy exercises (Exercises)
Injury to the knee,Other therapeutic procedures
Injury to the knee,Other non-OR therapeutic procedures on musculoskeletal system
Injury to the knee,Other OR therapeutic procedures on joints
Metabolic disorder,Hematologic tests (Blood test)
Metabolic disorder,Lipid panel
Metabolic disorder,Glucose measurement (Glucose level)
Metabolic disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Metabolic disorder,Complete physical skin exam performed (ML)
Metabolic disorder,Ultrasonography (Ultrasound)
Metabolic disorder,Mammography (Mammogram)
Metabolic disorder,Examination of foot
Vaginitis,Pelvis exam
Vaginitis,Urinalysis
Vaginitis,Standard pregnancy test
Vaginitis,Chlamydia test
Vaginitis,Examination of breast
Vaginitis,Microscopic examination (bacterial smear; culture; toxicology)
Vaginitis,Pap smear
Vaginitis,Rectal examination
Sick sinus syndrome,Electrocardiogram
Sick sinus syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Sick sinus syndrome,Ultrasonography (Ultrasound)
Sick sinus syndrome,Echocardiography
Sick sinus syndrome,Lipid panel
Sick sinus syndrome,Diagnostic cardiac catheterization; coronary arteriography
Sick sinus syndrome,Depression screen (Depression screening)
Sick sinus syndrome,Cardiac stress tests
Tinnitus of unknown cause,Ophthalmologic and otologic diagnosis and treatment
Tinnitus of unknown cause,Magnetic resonance imaging (Mri)
Tinnitus of unknown cause,Other therapeutic ear procedures
Tinnitus of unknown cause,Other physical therapy and rehabilitation
Tinnitus of unknown cause,Diagnostic procedures on ear
Tinnitus of unknown cause,Diagnostic procedures on nose; mouth and pharynx
Tinnitus of unknown cause,Other OR therapeutic nervous system procedures
Tinnitus of unknown cause,Upper gastrointestinal endoscopy; biopsy
Glaucoma,Ophthalmic examination and evaluation (Eye exam)
Glaucoma,Ophthalmologic and otologic diagnosis and treatment
Glaucoma,Other therapeutic procedures on eyelids; conjunctiva; cornea
Glaucoma,Lens and cataract procedures
Glaucoma,Diagnostic procedures on eye
Glaucoma,Glaucoma procedures
Glaucoma,Other intraocular therapeutic procedures
Glaucoma,Other extraocular muscle and orbit therapeutic procedures
Eating disorder,Psychotherapy
Eating disorder,Mental health counseling
Eating disorder,Depression screen (Depression screening)
Eating disorder,Psychological and psychiatric evaluation and therapy
Eating disorder,Occupational therapy assessment (Speech therapy)
Eating disorder,Other diagnostic radiology and related techniques
Transient ischemic attack,Radiographic imaging procedure
Transient ischemic attack,Hematologic tests (Blood test)
Transient ischemic attack,Complete blood count (Cbc)
Transient ischemic attack,X-ray computed tomography (Scan ct)
Transient ischemic attack,Electrocardiogram
Transient ischemic attack,Kidney function tests (Kidney function test)
Transient ischemic attack,Glucose measurement (Glucose level)
Transient ischemic attack,Electrolytes panel
Pyelonephritis,Urinalysis
Pyelonephritis,Hematologic tests (Blood test)
Pyelonephritis,Complete blood count (Cbc)
Pyelonephritis,Intravenous fluid replacement
Pyelonephritis,Radiographic imaging procedure
Pyelonephritis,Kidney function tests (Kidney function test)
Pyelonephritis,Glucose measurement (Glucose level)
Pyelonephritis,Electrolytes panel
Rotator cuff injury,Radiographic imaging procedure
Rotator cuff injury,Plain x-ray (X ray)
Rotator cuff injury,Physical therapy exercises (Exercises)
Rotator cuff injury,Magnetic resonance imaging (Mri)
Rotator cuff injury,Application of splint (Splinting)
Rotator cuff injury,Other therapeutic procedures on muscles and tendons
Rotator cuff injury,Other non-OR therapeutic procedures on musculoskeletal system
Rotator cuff injury,Arthroplasty other than hip or knee
Chronic pain disorder,Magnetic resonance imaging (Mri)
Chronic pain disorder,Lipid panel
Chronic pain disorder,Physical therapy exercises (Exercises)
Chronic pain disorder,Insertion of catheter or spinal stimulator and injection into spinal canal
Chronic pain disorder,Other therapeutic procedures
Chronic pain disorder,Other non-OR therapeutic procedures on musculoskeletal system
Chronic pain disorder,Physical therapy exercises; manipulation; and other procedures
Chronic pain disorder,Laparoscopy (GI only) (Laparoscopy)
Problem during pregnancy,Urinalysis
Problem during pregnancy,Hematologic tests (Blood test)
Problem during pregnancy,Complete blood count (Cbc)
Problem during pregnancy,Radiographic imaging procedure
Problem during pregnancy,Glucose measurement (Glucose level)
Problem during pregnancy,Standard pregnancy test
Problem during pregnancy,Pelvis exam
Problem during pregnancy,Kidney function tests (Kidney function test)
Liver cancer,Hematologic tests (Blood test)
Liver cancer,Complete blood count (Cbc)
Liver cancer,Glucose measurement (Glucose level)
Liver cancer,Electrolytes panel
Liver cancer,X-ray computed tomography (Scan ct)
Liver cancer,Ultrasonography (Ultrasound)
Liver cancer,Biopsy
Liver cancer,Magnetic resonance imaging (Mri)
Atelectasis,Radiographic imaging procedure
Atelectasis,Plain x-ray (X ray)
Atelectasis,Hematologic tests (Blood test)
Atelectasis,Complete blood count (Cbc)
Atelectasis,X-ray computed tomography (Scan ct)
Atelectasis,Electrocardiogram
Atelectasis,Intravenous fluid replacement
Atelectasis,Electrolytes panel
Injury to the hand,Radiographic imaging procedure
Injury to the hand,Plain x-ray (X ray)
Injury to the hand,Application of splint (Splinting)
Injury to the hand,Wound care management
Injury to the hand,Suturing of wound
Injury to the hand,Physical therapy exercises (Exercises)
Injury to the hand,Occupational therapy assessment (Speech therapy)
Injury to the hand,Prophylactic vaccinations and inoculations
Choledocholithiasis,Hematologic tests (Blood test)
Choledocholithiasis,Complete blood count (Cbc)
Choledocholithiasis,Radiographic imaging procedure
Choledocholithiasis,Intravenous fluid replacement
Choledocholithiasis,Kidney function tests (Kidney function test)
Choledocholithiasis,Electrolytes panel
Choledocholithiasis,Glucose measurement (Glucose level)
Choledocholithiasis,Urinalysis
Injury to the hip,Radiographic imaging procedure
Injury to the hip,Plain x-ray (X ray)
Injury to the hip,X-ray computed tomography (Scan ct)
Injury to the hip,Kidney function tests (Kidney function test)
Injury to the hip,Intravenous fluid replacement
Injury to the hip,CAT scan of head (Head ct)
Injury to the hip,Application of splint (Splinting)
Injury to the hip,Insertion of catheter into urinary bladder
Cirrhosis,Hematologic tests (Blood test)
Cirrhosis,Complete blood count (Cbc)
Cirrhosis,Glucose measurement (Glucose level)
Cirrhosis,Electrolytes panel
Cirrhosis,Lipid panel
Cirrhosis,Liver function tests (Liver test)
Cirrhosis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Cirrhosis,Ultrasonography (Ultrasound)
Thoracic aortic aneurysm,Radiographic imaging procedure
Thoracic aortic aneurysm,Electrocardiogram
Thoracic aortic aneurysm,Hematologic tests (Blood test)
Thoracic aortic aneurysm,Complete blood count (Cbc)
Thoracic aortic aneurysm,X-ray computed tomography (Scan ct)
Thoracic aortic aneurysm,Glucose measurement (Glucose level)
Thoracic aortic aneurysm,Kidney function tests (Kidney function test)
Thoracic aortic aneurysm,Electrolytes panel
Subdural hemorrhage,Radiographic imaging procedure
Subdural hemorrhage,X-ray computed tomography (Scan ct)
Subdural hemorrhage,Hematologic tests (Blood test)
Subdural hemorrhage,Complete blood count (Cbc)
Subdural hemorrhage,Intravenous fluid replacement
Subdural hemorrhage,Plain x-ray (X ray)
Subdural hemorrhage,CAT scan of head (Head ct)
Subdural hemorrhage,Electrolytes panel
Congenital rubella,Corneal transplant
Congenital rubella,Transurethral resection of prostate (TURP) (Turp)
Congenital rubella,Coronary thrombolysis
Congenital rubella,Control of epistaxis
Congenital rubella,CT scan abdomen (Ct of abdomen)
Congenital rubella,Procedures on spleen (Spleen operation)
Congenital rubella,Bone marrow transplant (Bmt)
Congenital rubella,Removal of ectopic pregnancy
Diabetic retinopathy,Other therapeutic procedures on eyelids; conjunctiva; cornea
Diabetic retinopathy,Ophthalmic examination and evaluation (Eye exam)
Diabetic retinopathy,Ophthalmologic and otologic diagnosis and treatment
Diabetic retinopathy,Hemoglobin A1c measurement (Hemoglobin a1c test)
Diabetic retinopathy,Repair of retinal tear; detachment
Diabetic retinopathy,Other extraocular muscle and orbit therapeutic procedures
Diabetic retinopathy,Other intraocular therapeutic procedures
Diabetic retinopathy,Destruction of lesion of retina and choroid
Fibromyalgia,Physical therapy exercises (Exercises)
Fibromyalgia,Magnetic resonance imaging (Mri)
Fibromyalgia,Other therapeutic procedures
Fibromyalgia,Mammography (Mammogram)
Fibromyalgia,Depression screen (Depression screening)
Fibromyalgia,Other physical therapy and rehabilitation
Fibromyalgia,Bone density scan
Fibromyalgia,Influenzavirus antibody assay
Ischemia of the bowel,Hematologic tests (Blood test)
Ischemia of the bowel,Complete blood count (Cbc)
Ischemia of the bowel,Radiographic imaging procedure
Ischemia of the bowel,Kidney function tests (Kidney function test)
Ischemia of the bowel,Glucose measurement (Glucose level)
Ischemia of the bowel,X-ray computed tomography (Scan ct)
Ischemia of the bowel,Electrolytes panel
Ischemia of the bowel,Intravenous fluid replacement
Fetal alcohol syndrome,Mental health counseling
Fetal alcohol syndrome,Ophthalmologic and otologic diagnosis and treatment
Fetal alcohol syndrome,Hemoglobin A1c measurement (Hemoglobin a1c test)
Fetal alcohol syndrome,Corneal transplant
Fetal alcohol syndrome,Procedures on spleen (Spleen operation)
Fetal alcohol syndrome,Removal of ectopic pregnancy
Fetal alcohol syndrome,Tracheostomy; temporary and permanent
Fetal alcohol syndrome,Diagnostic endocrine procedures
Peritonitis,Hematologic tests (Blood test)
Peritonitis,Radiographic imaging procedure
Peritonitis,Complete blood count (Cbc)
Peritonitis,Intravenous fluid replacement
Peritonitis,X-ray computed tomography (Scan ct)
Peritonitis,Kidney function tests (Kidney function test)
Peritonitis,Glucose measurement (Glucose level)
Peritonitis,Urinalysis
Injury to the abdomen,Radiographic imaging procedure
Injury to the abdomen,Hematologic tests (Blood test)
Injury to the abdomen,Complete blood count (Cbc)
Injury to the abdomen,X-ray computed tomography (Scan ct)
Injury to the abdomen,Urinalysis
Injury to the abdomen,Kidney function tests (Kidney function test)
Injury to the abdomen,Intravenous fluid replacement
Injury to the abdomen,Glucose measurement (Glucose level)
Acute pancreatitis,Hematologic tests (Blood test)
Acute pancreatitis,Complete blood count (Cbc)
Acute pancreatitis,Radiographic imaging procedure
Acute pancreatitis,Intravenous fluid replacement
Acute pancreatitis,Kidney function tests (Kidney function test)
Acute pancreatitis,Glucose measurement (Glucose level)
Acute pancreatitis,Urinalysis
Acute pancreatitis,Electrolytes panel
Thrombophlebitis,Radiographic imaging procedure
Thrombophlebitis,Ultrasonography (Ultrasound)
Thrombophlebitis,Wound care management
Thrombophlebitis,Prothrombin time assay (Prothrombin time)
Thrombophlebitis,Physical therapy exercises (Exercises)
Thrombophlebitis,Other OR procedures on vessels other than head and neck
Thrombophlebitis,Other vascular catheterization; not heart
Thrombophlebitis,Physical therapy exercises; manipulation; and other procedures
Asthma,Plain x-ray (X ray)
Asthma,Nebulizer therapy
Asthma,Other diagnostic procedures (interview; evaluation; consultation)
Asthma,Arterial blood gases (ABGs)
Asthma,Influenzavirus antibody assay
Asthma,Other respiratory therapy
Asthma,Other diagnostic procedures on skin and subcutaneous tissue
Asthma,Ophthalmologic and otologic diagnosis and treatment
Foreign body in the vagina,Nonoperative removal of foreign body
Foreign body in the vagina,Pelvis exam
Foreign body in the vagina,Standard pregnancy test
Foreign body in the vagina,Corneal transplant
Foreign body in the vagina,Procedures on spleen (Spleen operation)
Foreign body in the vagina,Removal of ectopic pregnancy
Foreign body in the vagina,Tracheostomy; temporary and permanent
Foreign body in the vagina,Diagnostic endocrine procedures
Restless leg syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Restless leg syndrome,Lipid panel
Restless leg syndrome,Hemoglobin A1c measurement (Hemoglobin a1c test)
Restless leg syndrome,Other therapeutic procedures on eyelids; conjunctiva; cornea
Restless leg syndrome,Magnetic resonance imaging (Mri)
Restless leg syndrome,Examination of foot
Restless leg syndrome,Depression screen (Depression screening)
Restless leg syndrome,Bone density scan
Emphysema,Radiographic imaging procedure
Emphysema,Plain x-ray (X ray)
Emphysema,Complete blood count (Cbc)
Emphysema,Hematologic tests (Blood test)
Emphysema,X-ray computed tomography (Scan ct)
Emphysema,Kidney function tests (Kidney function test)
Emphysema,Intravenous fluid replacement
Emphysema,Electrocardiogram
Cysticercosis,Radiographic imaging procedure
Cysticercosis,Hematologic tests (Blood test)
Cysticercosis,Complete blood count (Cbc)
Cysticercosis,X-ray computed tomography (Scan ct)
Cysticercosis,Magnetic resonance imaging (Mri)
Cysticercosis,Glucose measurement (Glucose level)
Cysticercosis,CAT scan of head (Head ct)
Cysticercosis,Depression screen (Depression screening)
Induced abortion,Hematologic tests (Blood test)
Induced abortion,Complete blood count (Cbc)
Induced abortion,Urinalysis
Induced abortion,Radiographic imaging procedure
Induced abortion,Standard pregnancy test
Induced abortion,Intravenous fluid replacement
Induced abortion,Pelvis exam
Induced abortion,Kidney function tests (Kidney function test)
Teething syndrome,Complete physical skin exam performed (ML)
Teething syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Teething syndrome,Ophthalmic examination and evaluation (Eye exam)
Teething syndrome,Psychological and psychiatric evaluation and therapy
Infectious gastroenteritis,Hematologic tests (Blood test)
Infectious gastroenteritis,Complete blood count (Cbc)
Infectious gastroenteritis,Intravenous fluid replacement
Infectious gastroenteritis,Urinalysis
Infectious gastroenteritis,Kidney function tests (Kidney function test)
Infectious gastroenteritis,Electrolytes panel
Infectious gastroenteritis,Glucose measurement (Glucose level)
Infectious gastroenteritis,Liver function tests (Liver test)
Acute sinusitis,Other diagnostic procedures (interview; evaluation; consultation)
Acute sinusitis,CAT scan of head (Head ct)
Acute sinusitis,Influenzavirus antibody assay
Acute sinusitis,Other respiratory therapy
Acute sinusitis,Physical therapy exercises; manipulation; and other procedures
Acute sinusitis,Tracheoscopy and laryngoscopy with biopsy
Von Hippel-Lindau disease,Magnetic resonance imaging (Mri)
Von Hippel-Lindau disease,Complete physical skin exam performed (ML)
Von Hippel-Lindau disease,Sigmoidoscopy or colonoscopy
Von Hippel-Lindau disease,Incision and excision of CNS
Von Hippel-Lindau disease,Diagnostic spinal tap (Spinal tap)
Von Hippel-Lindau disease,Excision of skin lesion
Von Hippel-Lindau disease,Occupational therapy assessment (Speech therapy)
Von Hippel-Lindau disease,Ophthalmic examination and evaluation (Eye exam)
Substance-related mental disorder,Hematologic tests (Blood test)
Substance-related mental disorder,Complete blood count (Cbc)
Substance-related mental disorder,Urinalysis
Substance-related mental disorder,Glucose measurement (Glucose level)
Substance-related mental disorder,Kidney function tests (Kidney function test)
Substance-related mental disorder,Electrocardiogram
Substance-related mental disorder,Intravenous fluid replacement
Substance-related mental disorder,Electrolytes panel
Postpartum depression,Urinalysis
Postpartum depression,Pelvis exam
Postpartum depression,Examination of breast
Postpartum depression,Mental health counseling
Postpartum depression,Ultrasonography (Ultrasound)
Postpartum depression,Chlamydia test
Postpartum depression,Depression screen (Depression screening)
Postpartum depression,Standard pregnancy test
Coronary atherosclerosis,Hematologic tests (Blood test)
Coronary atherosclerosis,Electrocardiogram
Coronary atherosclerosis,Lipid panel
Coronary atherosclerosis,Glucose measurement (Glucose level)
Coronary atherosclerosis,Ultrasonography (Ultrasound)
Coronary atherosclerosis,Echocardiography
Coronary atherosclerosis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Coronary atherosclerosis,Other diagnostic procedures (interview; evaluation; consultation)
Spondylitis,Plain x-ray (X ray)
Spondylitis,Physical therapy exercises (Exercises)
Spondylitis,Other therapeutic procedures
Spondylitis,Insertion of catheter or spinal stimulator and injection into spinal canal
Spondylitis,Magnetic resonance imaging (Mri)
Spondylitis,Other non-OR or closed therapeutic nervous system procedures
Spondylitis,Physical therapy exercises; manipulation; and other procedures
Spondylitis,Other physical therapy and rehabilitation
Pituitary adenoma,Magnetic resonance imaging (Mri)
Pituitary adenoma,Examination of breast
Pituitary adenoma,Other diagnostic procedures (interview; evaluation; consultation)
Pituitary adenoma,Pelvis exam
Pituitary adenoma,Ophthalmic examination and evaluation (Eye exam)
Pituitary adenoma,Diagnostic procedures on nose; mouth and pharynx
Pituitary adenoma,Sigmoidoscopy or colonoscopy
Pituitary adenoma,Corneal transplant
Uterine fibroids,Pelvis exam
Uterine fibroids,Radiographic imaging procedure
Uterine fibroids,Complete blood count (Cbc)
Uterine fibroids,Urinalysis
Uterine fibroids,Ultrasonography (Ultrasound)
Uterine fibroids,Examination of breast
Uterine fibroids,Standard pregnancy test
Uterine fibroids,Mammography (Mammogram)
Idiopathic nonmenstrual bleeding,Hematologic tests (Blood test)
Idiopathic nonmenstrual bleeding,Pelvis exam
Idiopathic nonmenstrual bleeding,Complete blood count (Cbc)
Idiopathic nonmenstrual bleeding,Urinalysis
Idiopathic nonmenstrual bleeding,Ultrasonography (Ultrasound)
Idiopathic nonmenstrual bleeding,Standard pregnancy test
Idiopathic nonmenstrual bleeding,Examination of breast
Idiopathic nonmenstrual bleeding,Glucose measurement (Glucose level)
Chalazion,Excision (Removal)
Chalazion,Other therapeutic procedures on eyelids; conjunctiva; cornea
Chalazion,Ophthalmic examination and evaluation (Eye exam)
Chalazion,Physical therapy exercises (Exercises)
Chalazion,Physical therapy exercises; manipulation; and other procedures
Chalazion,Biopsy
Chalazion,Other OR therapeutic nervous system procedures
Ovarian torsion,Radiographic imaging procedure
Ovarian torsion,Hematologic tests (Blood test)
Ovarian torsion,Pelvis exam
Ovarian torsion,Ultrasonography (Ultrasound)
Ovarian torsion,Urinalysis
Ovarian torsion,Complete blood count (Cbc)
Ovarian torsion,Standard pregnancy test
Ovarian torsion,X-ray computed tomography (Scan ct)
Retinopathy due to high blood pressure,Ophthalmic examination and evaluation (Eye exam)
Retinopathy due to high blood pressure,Other therapeutic procedures on eyelids; conjunctiva; cornea
Retinopathy due to high blood pressure,Hemoglobin A1c measurement (Hemoglobin a1c test)
Retinopathy due to high blood pressure,Ophthalmologic and otologic diagnosis and treatment
Retinopathy due to high blood pressure,Examination of foot
Retinopathy due to high blood pressure,Repair of retinal tear; detachment
Retinopathy due to high blood pressure,Diagnostic procedures on eye
Vaginal yeast infection,Pelvis exam
Vaginal yeast infection,Urinalysis
Vaginal yeast infection,Standard pregnancy test
Vaginal yeast infection,Chlamydia test
Vaginal yeast infection,Microscopic examination (bacterial smear; culture; toxicology)
Vaginal yeast infection,Examination of breast
Vaginal yeast infection,Pap smear
Vaginal yeast infection,Mammography (Mammogram)
Mastoiditis,X-ray computed tomography (Scan ct)
Mastoiditis,Ophthalmologic and otologic diagnosis and treatment
Mastoiditis,CAT scan of head (Head ct)
Mastoiditis,Magnetic resonance imaging (Mri)
Mastoiditis,Excision (Removal)
Lung contusion,Plain x-ray (X ray)
Lung contusion,Radiographic imaging procedure
Lung contusion,X-ray computed tomography (Scan ct)
Lung contusion,Intravenous fluid replacement
Lung contusion,Hematologic tests (Blood test)
Lung contusion,Complete blood count (Cbc)
Lung contusion,Urinalysis
Lung contusion,Electrocardiogram
Hypertrophic obstructive cardiomyopathy (HOCM),Radiographic imaging procedure
Hypertrophic obstructive cardiomyopathy (HOCM),Echocardiography
Hypertrophic obstructive cardiomyopathy (HOCM),Ultrasonography (Ultrasound)
Hypertrophic obstructive cardiomyopathy (HOCM),Diagnostic ultrasound of heart (echocardiogram)
Hypertrophic obstructive cardiomyopathy (HOCM),Cardiac stress tests
Hypertrophic obstructive cardiomyopathy (HOCM),Psychotherapy
Hypertrophic obstructive cardiomyopathy (HOCM),Lipid panel
Hypertrophic obstructive cardiomyopathy (HOCM),Sigmoidoscopy or colonoscopy
Ingrown toe nail,Excision (Removal)
Ingrown toe nail,Examination of foot
Ingrown toe nail,Complete physical skin exam performed (ML)
Ingrown toe nail,Wound care management
Ingrown toe nail,Other non-OR therapeutic procedures on skin and breast
Ingrown toe nail,Other diagnostic procedures (interview; evaluation; consultation)
Ingrown toe nail,Incision and drainage (I d)
Ingrown toe nail,Other therapeutic procedures
Pulmonary eosinophilia,Radiographic imaging procedure
Pulmonary eosinophilia,Plain x-ray (X ray)
Pulmonary eosinophilia,Hematologic tests (Blood test)
Pulmonary eosinophilia,Complete blood count (Cbc)
Pulmonary eosinophilia,Intravenous fluid replacement
Pulmonary eosinophilia,Electrolytes panel
Pulmonary eosinophilia,Kidney function tests (Kidney function test)
Pulmonary eosinophilia,Glucose measurement (Glucose level)
Open wound of the hip,Wound care management
Open wound of the hip,Suturing of wound
Open wound of the hip,Plain x-ray (X ray)
Open wound of the hip,Complete physical skin exam performed (ML)
Open wound of the hip,Application of splint (Splinting)
Open wound of the hip,Culture wound
Open wound of the hip,Referral to home health care service
Open wound of the hip,Physical therapy exercises (Exercises)
Corneal disorder,Ophthalmic examination and evaluation (Eye exam)
Corneal disorder,Other therapeutic procedures on eyelids; conjunctiva; cornea
Corneal disorder,Ophthalmologic and otologic diagnosis and treatment
Corneal disorder,Lens and cataract procedures
Corneal disorder,Other therapeutic procedures
Corneal disorder,Diagnostic procedures on eye
Corneal disorder,Corneal transplant
Corneal disorder,Other intraocular therapeutic procedures
Foreign body in the gastrointestinal tract,Radiographic imaging procedure
Foreign body in the gastrointestinal tract,Plain x-ray (X ray)
Foreign body in the gastrointestinal tract,Intravenous fluid replacement
Foreign body in the gastrointestinal tract,Nonoperative removal of foreign body
Foreign body in the gastrointestinal tract,Esophageal dilatation (Esophageal dilation)
Foreign body in the gastrointestinal tract,Tracheoscopy and laryngoscopy with biopsy
Foreign body in the gastrointestinal tract,Intubation
Foreign body in the gastrointestinal tract,Upper gastrointestinal endoscopy; biopsy
Endophthalmitis,Other therapeutic procedures on eyelids; conjunctiva; cornea
Endophthalmitis,Ophthalmic examination and evaluation (Eye exam)
Endophthalmitis,Nonoperative removal of foreign body
Endophthalmitis,Excision of skin lesion
Endophthalmitis,Other diagnostic procedures on skin and subcutaneous tissue
Endophthalmitis,Ophthalmologic and otologic diagnosis and treatment
Endophthalmitis,Microscopic examination (bacterial smear; culture; toxicology)
Endophthalmitis,Biopsy
Intestinal malabsorption,Complete physical skin exam performed (ML)
Intestinal malabsorption,Other diagnostic procedures (interview; evaluation; consultation)
Intestinal malabsorption,Lipid panel
Intestinal malabsorption,Mental health counseling
Intestinal malabsorption,Depression screen (Depression screening)
Intestinal malabsorption,Diagnostic ultrasound of heart (echocardiogram)
Intestinal malabsorption,Other physical therapy and rehabilitation
Intestinal malabsorption,Upper gastrointestinal endoscopy; biopsy
Lead poisoning,Corneal transplant
Lead poisoning,Transurethral resection of prostate (TURP) (Turp)
Lead poisoning,Coronary thrombolysis
Lead poisoning,Control of epistaxis
Lead poisoning,CT scan abdomen (Ct of abdomen)
Lead poisoning,Procedures on spleen (Spleen operation)
