Disease,Symptom
Osteochondrosis,Elbow pain
Osteochondrosis,Knee swelling
Osteochondrosis,Skin moles
Osteochondrosis,Knee lump or mass
Osteochondrosis,Weight gain
Injury to the knee,Knee pain
Injury to the knee,Knee swelling
Injury to the knee,Leg pain
Injury to the knee,Problems with movement
Injury to the knee,Knee stiffness or tightness
Injury to the knee,Leg swelling
Injury to the knee,Knee weakness
Injury to the knee,Foot or toe swelling
Injury to the knee,Heartburn
Injury to the knee,Smoking problems
Metabolic disorder,Weight gain
Metabolic disorder,Jaundice
Metabolic disorder,Mouth dryness
Metabolic disorder,Muscle pain
Metabolic disorder,Smoking problems
Metabolic disorder,Infant feeding problem
Metabolic disorder,Recent weight loss
Metabolic disorder,Problems with shape or size of breast
Metabolic disorder,Arm stiffness or tightness
Metabolic disorder,Underweight
Metabolic disorder,Difficulty eating
Metabolic disorder,Scanty menstrual flow
Vaginitis,Vaginal discharge
Vaginitis,Vaginal itching
Vaginitis,Sharp abdominal pain
Vaginitis,Painful urination
Vaginitis,Vaginal pain
Vaginitis,Lower abdominal pain
Vaginitis,Pelvic pain
Vaginitis,Vaginal redness
Vaginitis,Suprapubic pain
Vaginitis,Pain during pregnancy
Vaginitis,Vulvar irritation
Vaginitis,Pain during intercourse
Sick sinus syndrome,Dizziness
Sick sinus syndrome,Sharp chest pain
Sick sinus syndrome,Shortness of breath
Sick sinus syndrome,Palpitations
Sick sinus syndrome,Fainting
Sick sinus syndrome,Weakness
Sick sinus syndrome,Irregular heartbeat
Sick sinus syndrome,Decreased heart rate
Sick sinus syndrome,Increased heart rate
Sick sinus syndrome,Bleeding or discharge from nipple
Tinnitus of unknown cause,Ringing in ear
Tinnitus of unknown cause,Diminished hearing
Tinnitus of unknown cause,Dizziness
Tinnitus of unknown cause,Ear pain
Tinnitus of unknown cause,Headache
Tinnitus of unknown cause,Plugged feeling in ear
Tinnitus of unknown cause,Itchy ear(s)
Tinnitus of unknown cause,Frontal headache
Tinnitus of unknown cause,Symptoms of eye
Tinnitus of unknown cause,Hoarse voice
Tinnitus of unknown cause,Fluid in ear
Tinnitus of unknown cause,Neck stiffness or tightness
Glaucoma,Diminished vision
Glaucoma,Pain in eye
Glaucoma,Symptoms of eye
Glaucoma,Spots or clouds in vision
Glaucoma,Eye redness
Glaucoma,Lacrimation
Glaucoma,Itchiness of eye
Glaucoma,Blindness
Glaucoma,Eye burns or stings
Glaucoma,Foreign body sensation in eye
Glaucoma,Itchy eyelid
Glaucoma,Feeling cold
Eating disorder,Depression
Eating disorder,Anxiety and nervousness
Eating disorder,Depressive or psychotic symptoms
Eating disorder,Decreased appetite
Eating disorder,Abusing alcohol
Eating disorder,Excessive appetite
Eating disorder,Difficulty eating
Eating disorder,Weight gain
Eating disorder,Excessive anger
Eating disorder,Insomnia
Eating disorder,Vomiting blood
Eating disorder,Acne or pimples
Transient ischemic attack,Loss of sensation
Transient ischemic attack,Dizziness
Transient ischemic attack,Headache
Transient ischemic attack,Weakness
Transient ischemic attack,Focal weakness
Transient ischemic attack,Slurring words
Transient ischemic attack,Difficulty speaking
Transient ischemic attack,Symptoms of the face
Transient ischemic attack,Depressive or psychotic symptoms
Transient ischemic attack,Diminished vision
Transient ischemic attack,Disturbance of memory
Transient ischemic attack,Paresthesia
Pyelonephritis,Side pain
Pyelonephritis,Fever
Pyelonephritis,Sharp abdominal pain
Pyelonephritis,Back pain
Pyelonephritis,Vomiting
Pyelonephritis,Nausea
Pyelonephritis,Painful urination
Pyelonephritis,Low back pain
Pyelonephritis,Lower abdominal pain
Pyelonephritis,Blood in urine
Pyelonephritis,Suprapubic pain
Pyelonephritis,Frequent urination
Rotator cuff injury,Shoulder pain
Rotator cuff injury,Arm pain
Rotator cuff injury,Shoulder stiffness or tightness
Rotator cuff injury,Shoulder weakness
Rotator cuff injury,Arm cramps or spasms
Rotator cuff injury,Arm stiffness or tightness
Rotator cuff injury,Neck stiffness or tightness
Rotator cuff injury,Hand or finger stiffness or tightness
Rotator cuff injury,Shoulder swelling
Rotator cuff injury,Tongue lesions
Rotator cuff injury,Leg cramps or spasms
Rotator cuff injury,Abnormal appearing tongue
Chronic pain disorder,Back pain
Chronic pain disorder,Low back pain
Chronic pain disorder,Ache all over
Chronic pain disorder,Leg pain
Chronic pain disorder,Neck pain
Chronic pain disorder,Headache
Chronic pain disorder,Sharp abdominal pain
Chronic pain disorder,Shoulder pain
Chronic pain disorder,Knee pain
Chronic pain disorder,Hip pain
Chronic pain disorder,Pelvic pain
Chronic pain disorder,Lower body pain
Problem during pregnancy,Sharp abdominal pain
Problem during pregnancy,Pain during pregnancy
Problem during pregnancy,Problems during pregnancy
Problem during pregnancy,Lower abdominal pain
Problem during pregnancy,Spotting or bleeding during pregnancy
Problem during pregnancy,Nausea
Problem during pregnancy,Headache
Problem during pregnancy,Back pain
Problem during pregnancy,Vomiting
Problem during pregnancy,Burning abdominal pain
Problem during pregnancy,Pelvic pain
Problem during pregnancy,Cramps and spasms
Liver cancer,Sharp abdominal pain
Liver cancer,Upper abdominal pain
Liver cancer,Stomach bloating
Liver cancer,Changes in stool appearance
Liver cancer,Decreased appetite
Liver cancer,Unusual color or odor to urine
Liver cancer,Increased heart rate
Liver cancer,Kidney mass
Liver cancer,Swollen abdomen
Liver cancer,Symptoms of prostate
Liver cancer,Leg stiffness or tightness
Liver cancer,Groin mass
Atelectasis,Cough
Atelectasis,Shortness of breath
Atelectasis,Sharp chest pain
Atelectasis,Fever
Atelectasis,Nasal congestion
Atelectasis,Dizziness
Atelectasis,Sore throat
Atelectasis,Sharp abdominal pain
Atelectasis,Difficulty breathing
Atelectasis,Rib pain
Atelectasis,Ache all over
Atelectasis,Headache
Injury to the hand,Hand or finger pain
Injury to the hand,Hand or finger swelling
Injury to the hand,Wrist pain
Injury to the hand,Hand or finger stiffness or tightness
Injury to the hand,Joint pain
Injury to the hand,Skin growth
Injury to the hand,Muscle stiffness or tightness
Injury to the hand,Pallor
Injury to the hand,Focal weakness
Injury to the hand,Symptoms of the face
Injury to the hand,Wrist swelling
Injury to the hand,Hand or finger lump or mass
Choledocholithiasis,Sharp abdominal pain
Choledocholithiasis,Upper abdominal pain
Choledocholithiasis,Vomiting
Choledocholithiasis,Nausea
Choledocholithiasis,Sharp chest pain
Choledocholithiasis,Back pain
Choledocholithiasis,Diarrhea
Choledocholithiasis,Jaundice
Choledocholithiasis,Side pain
Choledocholithiasis,Chills
Choledocholithiasis,Unusual color or odor to urine
Choledocholithiasis,Decreased appetite
Injury to the hip,Hip pain
Injury to the hip,Leg pain
Injury to the hip,Neck pain
Injury to the hip,Groin pain
Injury to the hip,Lower body pain
Injury to the hip,Hand or finger swelling
Injury to the hip,Peripheral edema
Injury to the hip,Leg swelling
Injury to the hip,Problems with movement
Cirrhosis,Sharp abdominal pain
Cirrhosis,Shortness of breath
Cirrhosis,Peripheral edema
Cirrhosis,Fatigue
Cirrhosis,Upper abdominal pain
Cirrhosis,Abdominal distention
Cirrhosis,Stomach bloating
Cirrhosis,Blood in stool
Cirrhosis,Regurgitation
Cirrhosis,Symptoms of the kidneys
Cirrhosis,Vomiting blood
Cirrhosis,Melena
Thoracic aortic aneurysm,Sharp chest pain
Thoracic aortic aneurysm,Dizziness
Thoracic aortic aneurysm,Back pain
Thoracic aortic aneurysm,Shortness of breath
Thoracic aortic aneurysm,Sharp abdominal pain
Thoracic aortic aneurysm,Fatigue
Thoracic aortic aneurysm,Chest tightness
Thoracic aortic aneurysm,Unusual color or odor to urine
Thoracic aortic aneurysm,Flushing
Thoracic aortic aneurysm,Leg cramps or spasms
Thoracic aortic aneurysm,Coughing up sputum
Thoracic aortic aneurysm,Jaundice
Subdural hemorrhage,Headache
Subdural hemorrhage,Dizziness
Subdural hemorrhage,Problems with movement
Subdural hemorrhage,Depressive or psychotic symptoms
Subdural hemorrhage,Seizures
Subdural hemorrhage,Vomiting
Subdural hemorrhage,Facial pain
Subdural hemorrhage,Disturbance of memory
Subdural hemorrhage,Irritable infant
Subdural hemorrhage,Abnormal movement of eyelid
Subdural hemorrhage,Hostile behavior
Subdural hemorrhage,Delusions or hallucinations
Congenital rubella,Pain in eye
Congenital rubella,Shoulder cramps or spasms
Congenital rubella,Facial pain
Congenital rubella,Ankle pain
Congenital rubella,Wrist pain
Congenital rubella,Pain during pregnancy
Congenital rubella,Excessive anger
Congenital rubella,Joint stiffness or tightness
Congenital rubella,Pain or soreness of breast
Congenital rubella,Knee lump or mass
Congenital rubella,Fatigue
Congenital rubella,Excessive urination at night
Diabetic retinopathy,Diminished vision
Diabetic retinopathy,Spots or clouds in vision
Diabetic retinopathy,Pain in eye
Diabetic retinopathy,Lacrimation
Diabetic retinopathy,Symptoms of eye
Diabetic retinopathy,Eye redness
Diabetic retinopathy,Foreign body sensation in eye
Diabetic retinopathy,Itchiness of eye
Diabetic retinopathy,Blindness
Diabetic retinopathy,Bleeding from eye
Diabetic retinopathy,Abnormal movement of eyelid
Diabetic retinopathy,Double vision
Fibromyalgia,Back pain
Fibromyalgia,Ache all over
Fibromyalgia,Neck pain
Fibromyalgia,Muscle pain
Fibromyalgia,Leg pain
Fibromyalgia,Headache
Fibromyalgia,Shoulder pain
Fibromyalgia,Low back pain
Fibromyalgia,Sharp chest pain
Fibromyalgia,Arm pain
Fibromyalgia,Hip pain
Fibromyalgia,Fatigue
Ischemia of the bowel,Sharp abdominal pain
Ischemia of the bowel,Vomiting
Ischemia of the bowel,Diarrhea
Ischemia of the bowel,Nausea
Ischemia of the bowel,Rectal bleeding
Ischemia of the bowel,Blood in stool
Ischemia of the bowel,Lower abdominal pain
Ischemia of the bowel,Constipation
Ischemia of the bowel,Melena
Ischemia of the bowel,Burning abdominal pain
Ischemia of the bowel,Chills
Ischemia of the bowel,Retention of urine
Fetal alcohol syndrome,Excessive anger
Fetal alcohol syndrome,Temper problems
Fetal alcohol syndrome,Lack of growth
Fetal alcohol syndrome,Eye redness
Fetal alcohol syndrome,Depressive or psychotic symptoms
Fetal alcohol syndrome,Hostile behavior
Fetal alcohol syndrome,Smoking problems
Fetal alcohol syndrome,Seizures
Fetal alcohol syndrome,Coryza
Fetal alcohol syndrome,Wrist weakness
Fetal alcohol syndrome,Eye strain
Fetal alcohol syndrome,Emotional symptoms
Peritonitis,Sharp abdominal pain
Peritonitis,Nausea
Peritonitis,Vomiting
Peritonitis,Back pain
Peritonitis,Fever
Peritonitis,Shortness of breath
Peritonitis,Lower abdominal pain
Peritonitis,Upper abdominal pain
Peritonitis,Side pain
Peritonitis,Groin mass
Peritonitis,Intermenstrual bleeding
Peritonitis,Groin pain
Injury to the abdomen,Sharp abdominal pain
Injury to the abdomen,Sharp chest pain
Injury to the abdomen,Back pain
Injury to the abdomen,Burning abdominal pain
Injury to the abdomen,Upper abdominal pain
Injury to the abdomen,Lower abdominal pain
Injury to the abdomen,Leg pain
Injury to the abdomen,Neck pain
Injury to the abdomen,Pain during pregnancy
Injury to the abdomen,Side pain
Injury to the abdomen,Problems during pregnancy
Injury to the abdomen,Blood in urine
Acute pancreatitis,Sharp abdominal pain
Acute pancreatitis,Vomiting
Acute pancreatitis,Nausea
Acute pancreatitis,Upper abdominal pain
Acute pancreatitis,Diarrhea
Acute pancreatitis,Sharp chest pain
Acute pancreatitis,Burning abdominal pain
Acute pancreatitis,Back pain
Acute pancreatitis,Side pain
Acute pancreatitis,Abusing alcohol
Acute pancreatitis,Lower body pain
Acute pancreatitis,Hemoptysis
Thrombophlebitis,Leg pain
Thrombophlebitis,Leg swelling
Thrombophlebitis,Arm pain
Thrombophlebitis,Abnormal appearing skin
Thrombophlebitis,Arm swelling
Thrombophlebitis,Foot or toe pain
Thrombophlebitis,Ache all over
Thrombophlebitis,Lymphedema
Thrombophlebitis,Skin on leg or foot looks infected
Thrombophlebitis,Skin swelling
Thrombophlebitis,Leg cramps or spasms
Thrombophlebitis,Hand or finger swelling
Asthma,Cough
Asthma,Shortness of breath
Asthma,Wheezing
Asthma,Difficulty breathing
Asthma,Nasal congestion
Asthma,Fever
Asthma,Sharp chest pain
Asthma,Coryza
Asthma,Chest tightness
Asthma,Allergic reaction
Asthma,Coughing up sputum
Asthma,Congestion in chest
Foreign body in the vagina,Vaginal discharge
Foreign body in the vagina,Pelvic pain
Foreign body in the vagina,Painful urination
Foreign body in the vagina,Lower abdominal pain
Foreign body in the vagina,Skin lesion
Foreign body in the vagina,Back weakness
Foreign body in the vagina,Pus in sputum
Foreign body in the vagina,Emotional symptoms
Foreign body in the vagina,Muscle swelling
Foreign body in the vagina,Pus in urine
Foreign body in the vagina,Abnormal size or shape of ear
Foreign body in the vagina,Low back weakness
Restless leg syndrome,Abnormal involuntary movements
Restless leg syndrome,Leg pain
Restless leg syndrome,Headache
Restless leg syndrome,Sleepiness
Restless leg syndrome,Apnea
Restless leg syndrome,Fatigue
Restless leg syndrome,Abnormal breathing sounds
Restless leg syndrome,Depression
Restless leg syndrome,Back pain
Restless leg syndrome,Difficulty breathing
Restless leg syndrome,Loss of sensation
Restless leg syndrome,Insomnia
Emphysema,Sharp chest pain
Emphysema,Shortness of breath
Emphysema,Chest tightness
Emphysema,Cough
Emphysema,Nausea
Emphysema,Ache all over
Emphysema,Back pain
Emphysema,Cross-eyed
Emphysema,Itchy eyelid
Emphysema,Excessive growth
Emphysema,Emotional symptoms
Emphysema,Elbow cramps or spasms
Cysticercosis,Seizures
Cysticercosis,Headache
Cysticercosis,Vomiting
Cysticercosis,Shortness of breath
Cysticercosis,Abnormal involuntary movements
Cysticercosis,Elbow cramps or spasms
Cysticercosis,Elbow weakness
Cysticercosis,Excessive growth
Cysticercosis,Underweight
Cysticercosis,Low back weakness
Cysticercosis,Wrist weakness
Cysticercosis,Feeling hot and cold
Induced abortion,Spotting or bleeding during pregnancy
Induced abortion,Sharp abdominal pain
Induced abortion,Pain during pregnancy
Induced abortion,Cramps and spasms
Induced abortion,Lower abdominal pain
Induced abortion,Pelvic pain
Induced abortion,Problems during pregnancy
Induced abortion,Intermenstrual bleeding
Induced abortion,Vaginal discharge
Induced abortion,Blood clots during menstrual periods
Induced abortion,Groin pain
Induced abortion,Absence of menstruation
Teething syndrome,Fever
Teething syndrome,Pulling at ears
Teething syndrome,Cough
Teething syndrome,Irritable infant
Teething syndrome,Nasal congestion
Teething syndrome,Diarrhea
Teething syndrome,Ear pain
Teething syndrome,Gum pain
Teething syndrome,Symptoms of infants
Teething syndrome,Temper problems
Teething syndrome,Redness in ear
Teething syndrome,Decreased appetite
Infectious gastroenteritis,Vomiting
Infectious gastroenteritis,Diarrhea
Infectious gastroenteritis,Nausea
Infectious gastroenteritis,Sharp abdominal pain
Infectious gastroenteritis,Fever
Infectious gastroenteritis,Burning abdominal pain
Infectious gastroenteritis,Headache
Infectious gastroenteritis,Blood in stool
Infectious gastroenteritis,Decreased appetite
Infectious gastroenteritis,Chills
Infectious gastroenteritis,Fluid retention
Infectious gastroenteritis,Flu-like syndrome
Acute sinusitis,Cough
Acute sinusitis,Nasal congestion
Acute sinusitis,Sore throat
Acute sinusitis,Headache
Acute sinusitis,Frontal headache
Acute sinusitis,Coryza
Acute sinusitis,Fever
Acute sinusitis,Ear pain
Acute sinusitis,Sinus congestion
Acute sinusitis,Painful sinuses
Acute sinusitis,Facial pain
Acute sinusitis,Coughing up sputum
Von Hippel-Lindau disease,Seizures
Von Hippel-Lindau disease,Upper abdominal pain
Von Hippel-Lindau disease,Excessive growth
Von Hippel-Lindau disease,Abnormal appearing skin
Von Hippel-Lindau disease,Headache
Von Hippel-Lindau disease,Blood in urine
Von Hippel-Lindau disease,Paresthesia
Von Hippel-Lindau disease,Diminished vision
Von Hippel-Lindau disease,Knee pain
Von Hippel-Lindau disease,Fatigue
Von Hippel-Lindau disease,Nausea
Von Hippel-Lindau disease,Kidney mass
Substance-related mental disorder,Depressive or psychotic symptoms
Substance-related mental disorder,Delusions or hallucinations
Substance-related mental disorder,Depression
Substance-related mental disorder,Anxiety and nervousness
Substance-related mental disorder,Drug abuse
Substance-related mental disorder,Abusing alcohol
Substance-related mental disorder,Insomnia
Substance-related mental disorder,Feeling ill
Substance-related mental disorder,Excessive anger
Substance-related mental disorder,Problems with movement
Substance-related mental disorder,Hostile behavior
Substance-related mental disorder,Fears and phobias
Postpartum depression,Depression
Postpartum depression,Recent pregnancy
Postpartum depression,Problems during pregnancy
Postpartum depression,Anxiety and nervousness
Postpartum depression,Pain during pregnancy
Postpartum depression,Depressive or psychotic symptoms
Postpartum depression,Drug abuse
Postpartum depression,Spotting or bleeding during pregnancy
Postpartum depression,Uterine contractions
Postpartum depression,Delusions or hallucinations
Postpartum depression,Intermenstrual bleeding
Postpartum depression,Excessive anger
Coronary atherosclerosis,Sharp chest pain
Coronary atherosclerosis,Shortness of breath
Coronary atherosclerosis,Fatigue
Coronary atherosclerosis,Chest tightness
Coronary atherosclerosis,Palpitations
Coronary atherosclerosis,Irregular heartbeat
Coronary atherosclerosis,Lymphedema
Coronary atherosclerosis,Leg cramps or spasms
Coronary atherosclerosis,Burning chest pain
Spondylitis,Back pain
Spondylitis,Low back pain
Spondylitis,Leg pain
Spondylitis,Neck pain
Spondylitis,Hip pain
Spondylitis,Side pain
Spondylitis,Back cramps or spasms
Spondylitis,Lower body pain
Spondylitis,Stiffness all over
Spondylitis,Muscle cram
Spondylitis,Low back cramps or spasms
Spondylitis,Back mass or lump
Pituitary adenoma,Headache
Pituitary adenoma,Loss of sensation
Pituitary adenoma,Diminished vision
Pituitary adenoma,Knee pain
Pituitary adenoma,Nausea
Pituitary adenoma,Disturbance of memory
Pituitary adenoma,Coryza
Pituitary adenoma,Weight gain
Pituitary adenoma,Pain in eye
Pituitary adenoma,Nosebleed
Pituitary adenoma,Long menstrual periods
Pituitary adenoma,Muscle swelling
Uterine fibroids,Sharp abdominal pain
Uterine fibroids,Pelvic pain
Uterine fibroids,Heavy menstrual flow
Uterine fibroids,Lower abdominal pain
Uterine fibroids,Unpredictable menstruation
Uterine fibroids,Painful menstruation
Uterine fibroids,Intermenstrual bleeding
Uterine fibroids,Long menstrual periods
Uterine fibroids,Infertility
Uterine fibroids,Vaginal discharge
Uterine fibroids,Involuntary urination
Uterine fibroids,Cramps and spasms
Idiopathic nonmenstrual bleeding,Intermenstrual bleeding
Idiopathic nonmenstrual bleeding,Unpredictable menstruation
Idiopathic nonmenstrual bleeding,Long menstrual periods
Idiopathic nonmenstrual bleeding,Pelvic pain
Idiopathic nonmenstrual bleeding,Sharp abdominal pain
Idiopathic nonmenstrual bleeding,Heavy menstrual flow
Idiopathic nonmenstrual bleeding,Painful menstruation
Idiopathic nonmenstrual bleeding,Vaginal discharge
Idiopathic nonmenstrual bleeding,Painful urination
Idiopathic nonmenstrual bleeding,Frequent menstruation
Idiopathic nonmenstrual bleeding,Blood clots during menstrual periods
Idiopathic nonmenstrual bleeding,Sweating
Chalazion,Mass on eyelid
Chalazion,Pain in eye
Chalazion,Swollen eye
Chalazion,Eye redness
Chalazion,Symptoms of eye
Chalazion,Eyelid swelling
Chalazion,Eyelid lesion or rash
Chalazion,Diminished vision
Chalazion,Itchiness of eye
Chalazion,Skin growth
Chalazion,Foreign body sensation in eye
Chalazion,Lacrimation
Ovarian torsion,Sharp abdominal pain
Ovarian torsion,Lower abdominal pain
Ovarian torsion,Pelvic pain
Ovarian torsion,Ache all over
Ovarian torsion,Groin mass
Ovarian torsion,Unwanted hair
Ovarian torsion,Symptoms of bladder
Ovarian torsion,Knee swelling
Ovarian torsion,Pain or soreness of breast
Ovarian torsion,Skin swelling
Ovarian torsion,Infertility
Ovarian torsion,Acne or pimples
Retinopathy due to high blood pressure,Diminished vision
Retinopathy due to high blood pressure,Spots or clouds in vision
Retinopathy due to high blood pressure,Symptoms of eye
Retinopathy due to high blood pressure,Pain in eye
Retinopathy due to high blood pressure,Itchiness of eye
Retinopathy due to high blood pressure,Foreign body sensation in eye
Retinopathy due to high blood pressure,Mass on eyelid
Retinopathy due to high blood pressure,Eye redness
Retinopathy due to high blood pressure,Blindness
Retinopathy due to high blood pressure,Pus draining from ear
Retinopathy due to high blood pressure,Lacrimation
Retinopathy due to high blood pressure,Irregular appearing nails
Vaginal yeast infection,Vaginal itching
Vaginal yeast infection,Vaginal discharge
Vaginal yeast infection,Painful urination
Vaginal yeast infection,Sharp abdominal pain
Vaginal yeast infection,Vaginal pain
Vaginal yeast infection,Vaginal redness
Vaginal yeast infection,Itching of skin
Vaginal yeast infection,Problems during pregnancy
Vaginal yeast infection,Suprapubic pain
Vaginal yeast infection,Pelvic pain
Vaginal yeast infection,Lower abdominal pain
Vaginal yeast infection,Vulvar irritation
Mastoiditis,Ear pain
Mastoiditis,Dizziness
Mastoiditis,Redness in ear
Mastoiditis,Fluid in ear
Mastoiditis,Cough
Mastoiditis,Headache
Mastoiditis,Diminished hearing
Mastoiditis,Fever
Mastoiditis,Plugged feeling in ear
Mastoiditis,Ringing in ear
Mastoiditis,Nasal congestion
Mastoiditis,Facial pain
Lung contusion,Back pain
Lung contusion,Sharp chest pain
Lung contusion,Ache all over
Lung contusion,Rib pain
Lung contusion,Elbow pain
Lung contusion,Hip pain
Lung contusion,Hurts to breath
Lung contusion,Fluid retention
Lung contusion,Dizziness
Lung contusion,Headache
Lung contusion,Shoulder pain
Lung contusion,Shortness of breath
Hypertrophic obstructive cardiomyopathy (HOCM),Sharp chest pain
Hypertrophic obstructive cardiomyopathy (HOCM),Difficulty breathing
Hypertrophic obstructive cardiomyopathy (HOCM),Anxiety and nervousness
Hypertrophic obstructive cardiomyopathy (HOCM),Chest tightness
Hypertrophic obstructive cardiomyopathy (HOCM),Leg swelling
Hypertrophic obstructive cardiomyopathy (HOCM),Joint pain
Hypertrophic obstructive cardiomyopathy (HOCM),Cough
Hypertrophic obstructive cardiomyopathy (HOCM),Emotional symptoms
Hypertrophic obstructive cardiomyopathy (HOCM),Elbow cramps or spasms
Hypertrophic obstructive cardiomyopathy (HOCM),Nailbiting
Hypertrophic obstructive cardiomyopathy (HOCM),Muscle swelling
Hypertrophic obstructive cardiomyopathy (HOCM),Elbow weakness
Ingrown toe nail,Irregular appearing nails
Ingrown toe nail,Foot or toe pain
Ingrown toe nail,Skin on leg or foot looks infected
Ingrown toe nail,Foot or toe swelling
Ingrown toe nail,Abnormal appearing skin
Ingrown toe nail,Skin dryne
Ingrown toe nail,Skin growth
Ingrown toe nail,Skin on arm or hand looks infected
