Disease,Medication
Cellulitis or abscess of mouth,Retapamulin Topical
Cellulitis or abscess of mouth,Sodium Sulfacetamide-Sulfur Topical
Eye alignment disorder,Atropine (Uaa)
Eye alignment disorder,Phenylephrine (Duramax)
Eye alignment disorder,Cyclopentolate Ophthalmic
Eye alignment disorder,Tropicamide Ophthalmic
Eye alignment disorder,Dexamethasone-Tobramycin Ophthalmic
Eye alignment disorder,Methazolamide (Mzm)
Eye alignment disorder,Fluorescein
Eye alignment disorder,Orlistat (Alli)
Eye alignment disorder,Colloidal Oatmeal Topical
Eye alignment disorder,Benzylpenicilloyl Polylysine (Pre-Pen)
Eye alignment disorder,Ocular Lubricant
Headache after lumbar puncture,Hydromorphone (Dilaudid)
Headache after lumbar puncture,Caffeine
Headache after lumbar puncture,Prochlorperazine (Compro)
Headache after lumbar puncture,Midazolam (Versed)
Headache after lumbar puncture,Caffeine-Sodium Benzoate
Headache after lumbar puncture,Zidovudine
Headache after lumbar puncture,Zolmitriptan (Zomig)
Headache after lumbar puncture,Dexamethasone-Tobramycin Ophthalmic
Headache after lumbar puncture,Betamethasone-Clotrimazole Topical
Pyloric stenosis,Nizatidine (Axid)
Pyloric stenosis,Simethicone (Degas)
Pyloric stenosis,Lactulose
Pyloric stenosis,Silver Sulfadiazine Topical
Pyloric stenosis,Niacin
Pyloric stenosis,Nystatin Topical Product
Pyloric stenosis,Mecamylamine
Pyloric stenosis,Grepafloxacin (Raxar)
Pyloric stenosis,Malathion Topical
Pyloric stenosis,Gemtuzumab (Mylotarg)
Pyloric stenosis,Gadoteridol (Prohance)
Salivary gland disorder,Meloxicam
Salivary gland disorder,Pramipexole (Mirapex)
Salivary gland disorder,Dicyclomine
Salivary gland disorder,Saliva Substitutes
Salivary gland disorder,Mequinol-Tretinoin Topical
Salivary gland disorder,Bleomycin
Salivary gland disorder,Desflurane
Salivary gland disorder,Entacapone (Comtan)
Salivary gland disorder,Biotin
Salivary gland disorder,Rocuronium
Salivary gland disorder,Cefadroxil
Salivary gland disorder,Calcitriol
Osteochondrosis,Acebutolol
Osteochondrosis,Botulinum Toxin Type A (Botox)
Osteochondrosis,Etodolac
Injury to the knee,Chondroitin-Glucosamine
Injury to the knee,Cortisone
Injury to the knee,Piroxicam
Injury to the knee,Nabumetone
Injury to the knee,Pentazocine (Talwin)
Injury to the knee,Alendronate-Cholecalciferol
Injury to the knee,Moexipril
Injury to the knee,Desflurane
Injury to the knee,Insulin Detemir (Levemir)
Metabolic disorder,Ursodiol (Urso)
Metabolic disorder,Exenatide (Byetta)
Metabolic disorder,Alglucosidase Alfa (Myozyme)
Metabolic disorder,Levocarnitine
Metabolic disorder,Fenofibric Acid (Trilipix)
Metabolic disorder,Raltegravir (Isentress)
Metabolic disorder,Potassium Citrate
Metabolic disorder,Guar Gum
Vaginitis,Metronidazole
Vaginitis,Fluconazole (Diflucan)
Vaginitis,Metronidazole Topical Product
Vaginitis,Terconazole Topical
Vaginitis,Miconazole Topical Product
Vaginitis,Betamethasone-Clotrimazole Topical
Vaginitis,Clindamycin Topical Product
Vaginitis,Tinidazole
Vaginitis,Nystatin-Triamcinolone Topical
Vaginitis,Cefixime (Suprax)
Vaginitis,Pentosan Polysulphate Sodium (Elmiron)
Vaginitis,Boric Acid Topical
Vaginitis,Diflorasone Topical
Sick sinus syndrome,Warfarin
Sick sinus syndrome,Digoxin
Sick sinus syndrome,Sotalol
Sick sinus syndrome,Amiodarone
Sick sinus syndrome,Torsemide
Sick sinus syndrome,Vitamin E (Vita-E)
Sick sinus syndrome,Bumetanide
Sick sinus syndrome,Flecainide
Sick sinus syndrome,Ibandronate (Boniva)
Sick sinus syndrome,Dofetilide (Tikosyn)
Sick sinus syndrome,Dopamine
Sick sinus syndrome,Isosorbide Mononitrate (Ismo)
Sick sinus syndrome,Nebivolol (Bystolic)
Tinnitus of unknown cause,Azelastine Nasal
Tinnitus of unknown cause,Salmeterol
Tinnitus of unknown cause,Levocetirizine (Xyzal)
Tinnitus of unknown cause,Ginkgo Biloba Extract (Ginkgo)
Tinnitus of unknown cause,Iodoquinol
Tinnitus of unknown cause,Benzalkonium Chloride Topical
Tinnitus of unknown cause,Aluminum Sulfate-Calcium Acetate Topical
Tinnitus of unknown cause,Magnesium Chloride
Tinnitus of unknown cause,Dexamethasone Ophthalmic
Tinnitus of unknown cause,Ciclesonide Nasal
Tinnitus of unknown cause,Almotriptan (Axert)
Tinnitus of unknown cause,Mineral Oil (Stye)
Glaucoma,Latanoprost
Glaucoma,Bimatoprost Ophthalmic
Glaucoma,Brimonidine Ophthalmic
Glaucoma,Timolol
Glaucoma,Travoprost (Travatan)
Glaucoma,Prednisolone Ophthalmic
Glaucoma,Brimonidine-Timolol Ophthalmic
Glaucoma,Dorzolamide Ophthalmic
Glaucoma,Brinzolamide Ophthalmic
Glaucoma,Tropicamide Ophthalmic
Glaucoma,Apraclonidine Ophthalmic
Glaucoma,Acetazolamide (Diamox)
Glaucoma,Pilocarpine Ophthalmic
Eating disorder,Fluoxetine (Prozac)
Eating disorder,Trazodone
Eating disorder,Quetiapine (Seroquel)
Eating disorder,Lamotrigine (Lamictal)
Eating disorder,Topiramate (Topamax)
Eating disorder,Venlafaxine (Effexor)
Eating disorder,Aripiprazole (Abilify)
Eating disorder,Minocycline
Eating disorder,Benzoyl Peroxide Topical
Eating disorder,Tranylcypromine (Parnate)
Eating disorder,Phenelzine (Nardil)
Eating disorder,Chlorpromazine (Thorazine)
Eating disorder,Lisdexamfetamine (Vyvanse)
Transient ischemic attack,Clopidogrel (Plavix)
Transient ischemic attack,Deferasirox (Exjade)
Transient ischemic attack,Bethanechol
Transient ischemic attack,Dipyridamole
Transient ischemic attack,Gadopentetate Dimeglumine (Magnevist)
Transient ischemic attack,Bivalirudin
Transient ischemic attack,Propantheline
Pyelonephritis,Ciprofloxacin
Pyelonephritis,Levofloxacin (Levaquin)
Pyelonephritis,Ceftriaxone
Pyelonephritis,Phenazopyridine (Azo)
Pyelonephritis,Cefotaxime
Pyelonephritis,Cefixime (Suprax)
Pyelonephritis,Doripenem
Pyelonephritis,Dihydrocodeine (Didone)
Pyelonephritis,Auranofin
Pyelonephritis,Somatrem (Protropin)
Pyelonephritis,Ganciclovir
Pyelonephritis,Clotrimazole
Pyelonephritis,Iodixanol
Rotator cuff injury,Triamcinolone Topical Product
Rotator cuff injury,Bupivacaine
Rotator cuff injury,Rocuronium
Rotator cuff injury,Cortisone
Rotator cuff injury,Sevoflurane
Rotator cuff injury,Mepivacaine (Carbocaine)
Rotator cuff injury,Desflurane
Rotator cuff injury,Diclofenac Topical Product
Rotator cuff injury,Nitrous Oxide
Rotator cuff injury,Rapacuronium
Rotator cuff injury,Sulfur Topical
Chronic pain disorder,Oxycodone
Chronic pain disorder,Methadone
Chronic pain disorder,Carisoprodol (Soma)
Chronic pain disorder,Oxymorphone (Opana)
Chronic pain disorder,Diclofenac Topical Product
Chronic pain disorder,Milnacipran (Savella)
Chronic pain disorder,Cannabis (Schedule I Substance)
Chronic pain disorder,Cevimeline (Evoxac)
Chronic pain disorder,Sorbitol
Chronic pain disorder,Choline
Chronic pain disorder,Tolbutamide
Problem during pregnancy,Multivitam
Problem during pregnancy,Miconazole Topical Product
Problem during pregnancy,Rho(D) Immune Globulin (Rhogam)
Problem during pregnancy,Clomiphene (Clomid)
Problem during pregnancy,Methyldopa
Problem during pregnancy,Multivitamin With Minerals
Liver cancer,Spironolactone
Liver cancer,Oxycodone
Liver cancer,Tacrolimus (Prograf)
Liver cancer,Lactulose
Liver cancer,Sorafenib
Liver cancer,Dexamethasone
Liver cancer,Aprepitant (Emend)
Liver cancer,Gemcitabine (Gemzar)
Liver cancer,Valganciclovir (Valcyte)
Liver cancer,Palonosetron (Aloxi)
Liver cancer,Mycophenolate Mofetil (Cellcept)
Liver cancer,Nystatin Topical Product
Liver cancer,Zinc Sulfate
Atelectasis,Guaifenesin (Mucinex)
Atelectasis,Cilostazol
Atelectasis,Tiotropium (Spiriva)
Atelectasis,Factor Ix Complex (Obsolete)
Atelectasis,Lactase
Atelectasis,Iodine (I-Deal)
Atelectasis,Pancreatin
Atelectasis,Filgrastim (Neupogen)
Atelectasis,Darbepoetin Alfa (Aranesp)
Atelectasis,Olopatadine Ophthalmic
Atelectasis,Cefuroxime
Atelectasis,Rosiglitazone (Avandia)
Injury to the hand,Etodolac
Injury to the hand,Etanercept (Enbrel)
Injury to the hand,Propoxyphene
Injury to the hand,Capsaicin Topical
Injury to the hand,Dapsone
Injury to the hand,Combivir
Choledocholithiasis,Metronidazole
Choledocholithiasis,Midazolam (Versed)
Choledocholithiasis,Zosyn
Choledocholithiasis,Ampicillin
Choledocholithiasis,Mivacurium
Choledocholithiasis,Plasma Protein Fraction (Plasmanate)
Choledocholithiasis,Vitamin K 1 (Mephyton)
Choledocholithiasis,Desipramine
Choledocholithiasis,Cinacalcet (Sensipar)
Choledocholithiasis,Barium Sulfate
Choledocholithiasis,Sulfamethoxazole (Bactrim)
Choledocholithiasis,Cefepime
Injury to the hip,Hydrocodone
Injury to the hip,Metaxalone (Skelaxin)
Injury to the hip,Calcium Acetate
Injury to the hip,Hydroxychloroquine (Plaquenil)
Injury to the hip,Rosiglitazone (Avandia)
Injury to the hip,Glucosamine
Injury to the hip,Malathion Topical
Injury to the hip,Gadoteridol (Prohance)
Injury to the hip,Devil'S Claw Preparation
Injury to the hip,Isocarboxazid (Marplan)
Cirrhosis,Furosemide
Cirrhosis,Spironolactone
Cirrhosis,Lactulose
Cirrhosis,Tacrolimus (Prograf)
Cirrhosis,Nadolol
Cirrhosis,Mycophenolate Mofetil (Cellcept)
Cirrhosis,Propranolol
Cirrhosis,Thiamine
Cirrhosis,Methadone
Cirrhosis,Ursodiol (Urso)
Cirrhosis,Epoetin Alfa (Procrit)
Cirrhosis,Peginterferon Alfa-2B (Sylatron)
Cirrhosis,Zinc Sulfate
Thoracic aortic aneurysm,Metoprolol
Thoracic aortic aneurysm,Nitroglycerin
Thoracic aortic aneurysm,Hydralazine
Thoracic aortic aneurysm,Labetalol
Thoracic aortic aneurysm,Esmolol
Thoracic aortic aneurysm,Pentoxifylline
Thoracic aortic aneurysm,Colchicine
Thoracic aortic aneurysm,Amiodarone
Thoracic aortic aneurysm,Nitroprusside
Thoracic aortic aneurysm,Estropipate (Ogen)
Thoracic aortic aneurysm,Dexamethasone Ophthalmic
Thoracic aortic aneurysm,Paricalcitol (Zemplar)
Subdural hemorrhage,Levetiracetam (Keppra)
Subdural hemorrhage,Phenytoin (Dilantin)
Subdural hemorrhage,Labetalol
Subdural hemorrhage,Phenobarbital
Subdural hemorrhage,Mannitol
Subdural hemorrhage,Nicardipine
Subdural hemorrhage,Vitamin K 1 (Mephyton)
Subdural hemorrhage,Carbidopa
Subdural hemorrhage,Rocuronium
Subdural hemorrhage,Linezolid (Zyvox)
Subdural hemorrhage,Dorzolamide Ophthalmic
Subdural hemorrhage,Fosphenytoin
Subdural hemorrhage,Cefepime
Congenital rubella,Air
Congenital rubella,Mecamylamine
Congenital rubella,Troleandomycin
Congenital rubella,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Congenital rubella,Pipecuronium (Arduan)
Congenital rubella,Grepafloxacin (Raxar)
Congenital rubella,Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)
Congenital rubella,Iopanoic Acid
Congenital rubella,Conjugated Estrogens Topical
Congenital rubella,Malathion Topical
Congenital rubella,Gemtuzumab (Mylotarg)
Congenital rubella,Norelgestromin (Ortho Evra)
Diabetic retinopathy,Insulin
Diabetic retinopathy,Insulin Glargine (Lantus)
Diabetic retinopathy,Tropicamide Ophthalmic
Diabetic retinopathy,Phenylephrine (Duramax)
Diabetic retinopathy,Insul
Diabetic retinopathy,Brimonidine Ophthalmic
Diabetic retinopathy,Prednisolone Ophthalmic
Diabetic retinopathy,Bevacizumab (Avastin)
Diabetic retinopathy,Rosiglitazone (Avandia)
Diabetic retinopathy,Latanoprost
Diabetic retinopathy,Gatifloxacin (Zymar)
Diabetic retinopathy,Timolol
Diabetic retinopathy,Bimatoprost Ophthalmic
Fibromyalgia,Pregabalin (Lyrica)
Fibromyalgia,Tizanidine
Fibromyalgia,Nortriptyline
Fibromyalgia,Milnacipran (Savella)
Fibromyalgia,Chlorzoxazone
Fibromyalgia,Oxymorphone (Opana)
Fibromyalgia,Rifaximin
Fibromyalgia,Cevimeline (Evoxac)
Fibromyalgia,Clemastine (Tavist)
Fibromyalgia,Naratriptan (Amerge)
Fibromyalgia,Ergotamine
Fibromyalgia,Alfentanil
Ischemia of the bowel,Metronidazole
Ischemia of the bowel,Fentanyl
Ischemia of the bowel,Zosyn
Ischemia of the bowel,Heparin
Ischemia of the bowel,Meperidine (Demerol)
Ischemia of the bowel,Mesalamine (Asacol)
Ischemia of the bowel,Sucralfate (Carafate)
Ischemia of the bowel,Oxygen
Ischemia of the bowel,Sodium Phosphate
Ischemia of the bowel,Guar Gum
Ischemia of the bowel,Cefoxitin
Ischemia of the bowel,Droperidol
Ischemia of the bowel,Pentoxifylline
Fetal alcohol syndrome,Adderall
Fetal alcohol syndrome,Methylphenidate
Fetal alcohol syndrome,Clonidine
Fetal alcohol syndrome,Trazodone
Fetal alcohol syndrome,Cyproheptadine
Fetal alcohol syndrome,Guanfacine (Intuniv)
Fetal alcohol syndrome,Nicotine
Fetal alcohol syndrome,Atomoxetine (Strattera)
Fetal alcohol syndrome,Olanzapine (Zyprexa)
Fetal alcohol syndrome,Lamotrigine (Lamictal)
Fetal alcohol syndrome,Risperidone
Fetal alcohol syndrome,Mecamylamine
Peritonitis,Metronidazole
Peritonitis,Fentanyl
Peritonitis,Vancomycin
Peritonitis,Ceftazidime
Peritonitis,Zosyn
Peritonitis,Cinacalcet (Sensipar)
Peritonitis,Rocuronium
Peritonitis,Cefoxitin
Peritonitis,Iohexol (Omnipaque)
Peritonitis,Diatrizoate
Peritonitis,Sennosid
Peritonitis,Magaldrate
Injury to the abdomen,Vecuronium
Injury to the abdomen,Bisacodyl (The Magic Bullet)
Injury to the abdomen,Memantine (Namenda)
Injury to the abdomen,Sennosid
Injury to the abdomen,Zosyn
Injury to the abdomen,Mecamylamine
Injury to the abdomen,Grepafloxacin (Raxar)
Injury to the abdomen,Malathion Topical
Injury to the abdomen,Gemtuzumab (Mylotarg)
Injury to the abdomen,Gadoteridol (Prohance)
Acute pancreatitis,Ondansetron (Zofran)
Acute pancreatitis,Hydromorphone (Dilaudid)
Acute pancreatitis,Zosyn
Acute pancreatitis,Diatrizoate
Acute pancreatitis,Chlordiazepoxide
Acute pancreatitis,Pancrelipase (Pancrease)
Acute pancreatitis,Pancreatin
Acute pancreatitis,Iohexol (Omnipaque)
Acute pancreatitis,Cefotetan
Acute pancreatitis,Benzylpenicilloyl Polylysine (Pre-Pen)
Acute pancreatitis,Glucagon
Acute pancreatitis,Cephradine
Thrombophlebitis,Enoxaparin (Lovenox)
Thrombophlebitis,Indomethacin
Thrombophlebitis,Propoxyphene
Thrombophlebitis,Sodium Bicarbonate
Thrombophlebitis,Mequinol-Tretinoin Topical
Thrombophlebitis,Factor Ix Complex (Obsolete)
Thrombophlebitis,Sertaconazole Topical
Thrombophlebitis,Ephedrine (Kie)
Thrombophlebitis,Flumazenil
Thrombophlebitis,Deferasirox (Exjade)
Thrombophlebitis,Itraconazole
Thrombophlebitis,Diclofenac Topical Product
Thrombophlebitis,Sodium Hypochlorite Topical
Asthma,Albuterol
Asthma,Prednisone
Asthma,Montelukast (Singulair)
Asthma,Fluticasone Nasal Product
Asthma,Ipratropium
Asthma,Prednisolone
Asthma,Budesonide
Asthma,Levalbuterol (Xopenex)
Asthma,Combivent
Asthma,Beclomethasone Nasal Product
Asthma,Terbutaline
Asthma,Pirbuterol (Maxair)
Foreign body in the vagina,Levonorgestrel
Foreign body in the vagina,Miconazole Topical Product
Foreign body in the vagina,Mecamylamine
Foreign body in the vagina,Grepafloxacin (Raxar)
Foreign body in the vagina,Malathion Topical
Foreign body in the vagina,Gemtuzumab (Mylotarg)
Foreign body in the vagina,Gadoteridol (Prohance)
Foreign body in the vagina,Devil'S Claw Preparation
Foreign body in the vagina,Isocarboxazid (Marplan)
Foreign body in the vagina,Medrysone Ophthalmic
Foreign body in the vagina,Magnesium Lactate
Restless leg syndrome,Ropinirole
Restless leg syndrome,Pramipexole (Mirapex)
Restless leg syndrome,Gabapentin
Restless leg syndrome,Modafinil (Provigil)
Restless leg syndrome,Tizanidine
Restless leg syndrome,Rizatriptan (Maxalt)
Restless leg syndrome,Sitagliptin (Januvia)
Restless leg syndrome,Ramelteon (Rozerem)
Restless leg syndrome,Primidone
Restless leg syndrome,Doxepin
Restless leg syndrome,Solifenacin (Vesicare)
Restless leg syndrome,Entecavir (Baraclude)
Emphysema,Sodium Chloride (Deep Sea)
Emphysema,Diphenhydramine (Benadryl)
Emphysema,Hydromorphone (Dilaudid)
Emphysema,Sucralfate (Carafate)
Emphysema,Nicotine
Emphysema,Zosyn
Emphysema,Epinephrine
Emphysema,Budesonide
Emphysema,Adderall
Emphysema,Losartan
Emphysema,Combivent
Emphysema,Penicillin
Emphysema,Paroxetine (Paxil)
Cysticercosis,Phenytoin (Dilantin)
Cysticercosis,Levetiracetam (Keppra)
Cysticercosis,Calcium Carbonate
Cysticercosis,Metoclopramide
Cysticercosis,Albendazole
Cysticercosis,Desipramine
Cysticercosis,Magnesium Sulfate
Cysticercosis,Nortriptyline
Cysticercosis,Carbamazepine
Cysticercosis,Folic Acid
Cysticercosis,Mecamylamine
Cysticercosis,Grepafloxacin (Raxar)
Induced abortion,Methylergonovine (Methergine)
Induced abortion,Rho(D) Immune Globulin (Rhogam)
Induced abortion,Misoprostol
Induced abortion,Nonoxynol 9 Topical
Induced abortion,Propylthiouracil
Induced abortion,Human Chorionic Gonadotropin (Hcg)
Induced abortion,Oxytocin
Induced abortion,Norethindrone (Loestrin Fe)
Induced abortion,Levonorgestrel
Induced abortion,Terconazole Topical
Teething syndrome,Rotavirus Vaccines (Rotavirus Vaccine)
Teething syndrome,Pneumococcal 7-Valent Conjugate Vaccine (Prevnar)
Teething syndrome,Benzocaine Topical
Teething syndrome,Mumps Vaccine
Teething syndrome,Sodium Citrate
Teething syndrome,Measles Vaccine
Teething syndrome,Rubella Virus Vaccine
Teething syndrome,Purified Protein Derivative Of Tuberculin (Tubersol)
Teething syndrome,Cholestyramine Resin (Questran)
Teething syndrome,Glycerin (Fleet)
Infectious gastroenteritis,Metronidazole
Infectious gastroenteritis,Loperamide (Imodium)
Infectious gastroenteritis,Trimethobenzamide (Tigan)
Infectious gastroenteritis,Bismuth Subsalicylate (Pepto-Bismol)
Infectious gastroenteritis,Lactobacillus Acidophilus And Bulgaricus
Infectious gastroenteritis,Sodium Citrate
Infectious gastroenteritis,Sodium Hypochlorite Topical
Infectious gastroenteritis,Dimenhydrinate (Dramamine)
Infectious gastroenteritis,Pepsin A
Infectious gastroenteritis,Betamethasone
Infectious gastroenteritis,Ammonium Lactate Topical
Acute sinusitis,Amoxicillin
Acute sinusitis,Augmentin
Acute sinusitis,Guaifenesin (Mucinex)
Acute sinusitis,Clarithromycin
Acute sinusitis,Cefdinir
Acute sinusitis,Pseudoephedrine (Pcm-La)
Acute sinusitis,Cefuroxime
Acute sinusitis,Robitussin Ac
Acute sinusitis,Oxymetazoline Nasal
Acute sinusitis,Triamcinolone Nasal Product
Acute sinusitis,Robitussin Dm
Von Hippel-Lindau disease,Albendazole
Von Hippel-Lindau disease,Pimecrolimus Topical
Von Hippel-Lindau disease,Acetazolamide (Diamox)
Von Hippel-Lindau disease,Travoprost (Travatan)
Von Hippel-Lindau disease,Bimatoprost Ophthalmic
Von Hippel-Lindau disease,Brimonidine Ophthalmic
Von Hippel-Lindau disease,Lactulose
Von Hippel-Lindau disease,Nortriptyline
Von Hippel-Lindau disease,Fluticasone Topical Product
Von Hippel-Lindau disease,Rabeprazole (Aciphex)
Von Hippel-Lindau disease,Oxcarbazepine (Trileptal)
Von Hippel-Lindau disease,Gemfibrozil
Von Hippel-Lindau disease,Lithium (Li)
Substance-related mental disorder,Lorazepam
Substance-related mental disorder,Quetiapine (Seroquel)
Substance-related mental disorder,Risperidone
Substance-related mental disorder,Haloperidol
Substance-related mental disorder,Benztropine
Substance-related mental disorder,Ziprasidone (Geodon)
Substance-related mental disorder,Efavirenz
Substance-related mental disorder,Naloxone (Suboxone)
Substance-related mental disorder,Nicotine
Substance-related mental disorder,Didanosine (Videx)
Substance-related mental disorder,Nelfinavir (Viracept)
Substance-related mental disorder,Naltrexone
Substance-related mental disorder,Clorazepate
Postpartum depression,Sertraline (Zoloft)
Postpartum depression,Methadone
Postpartum depression,Miconazole Topical Product
Postpartum depression,Propylthiouracil
Postpartum depression,Rho(D) Immune Globulin (Rhogam)
Postpartum depression,Aloe Vera Preparation
Postpartum depression,Bromocriptine
Postpartum depression,Desipramine
Postpartum depression,Guar Gum
Postpartum depression,Dapsone
Coronary atherosclerosis,Aspirin
Coronary atherosclerosis,Metoprolol
Coronary atherosclerosis,Clopidogrel (Plavix)
Coronary atherosclerosis,Simvastatin
Coronary atherosclerosis,Nitroglycerin
Coronary atherosclerosis,Carvedilol
Coronary atherosclerosis,Isosorbide
Coronary atherosclerosis,Rosuvastatin (Crestor)
Coronary atherosclerosis,Digoxin
Coronary atherosclerosis,Ezetimibe (Zetia)
Coronary atherosclerosis,Ramipril
Coronary atherosclerosis,Niacin
Spondylitis,Cyclobenzaprine
Spondylitis,Diazepam (Valium)
Spondylitis,Carisoprodol (Soma)
Spondylitis,Orphenadrine (Flexon)
Spondylitis,Methocarbamol
Spondylitis,Tizanidine
Spondylitis,Bupivacaine
Spondylitis,Metaxalone (Skelaxin)
Spondylitis,Methadone
Spondylitis,Nabumetone
Spondylitis,Chlorzoxazone
Spondylitis,Succimer
Pituitary adenoma,Bromocriptine
Pituitary adenoma,Testosterone
Pituitary adenoma,Rosuvastatin (Crestor)
Pituitary adenoma,Cabergoline
Pituitary adenoma,Olmesartan (Benicar)
Pituitary adenoma,Gadoteridol (Prohance)
Pituitary adenoma,Pergolide
Pituitary adenoma,Diethylpropion (Tenuate)
Pituitary adenoma,Pramlintide (Symlin)
Pituitary adenoma,Fluorometholone Ophthalmic
Pituitary adenoma,Triazolam (Halcion)
Pituitary adenoma,Brimonidine-Timolol Ophthalmic
Uterine fibroids,Medroxyprogesterone
Uterine fibroids,Leuprolide (Lupron)
Uterine fibroids,Progesterone
Uterine fibroids,Clomiphene (Clomid)
Uterine fibroids,Human Chorionic Gonadotropin (Hcg)
Uterine fibroids,Norethindrone (Loestrin Fe)
Uterine fibroids,Sevoflurane
Uterine fibroids,Nafarelin (Synarel)
Uterine fibroids,Butoconazole Topical
Uterine fibroids,Goserelin (Zoladex)
Uterine fibroids,Ferrous Sulfate
Uterine fibroids,Misoprostol
Idiopathic nonmenstrual bleeding,Medroxyprogesterone
Idiopathic nonmenstrual bleeding,Ortho Cyclen
Idiopathic nonmenstrual bleeding,Propofol
Idiopathic nonmenstrual bleeding,Sevoflurane
Idiopathic nonmenstrual bleeding,Miconazole Topical Product
Idiopathic nonmenstrual bleeding,Progesterone
Idiopathic nonmenstrual bleeding,Portia
Idiopathic nonmenstrual bleeding,Interferon Gamma-1B (Actimmune)
Idiopathic nonmenstrual bleeding,Hexachlorophene Topical
Idiopathic nonmenstrual bleeding,Orlistat (Alli)
Chalazion,Dexamethasone-Tobramycin Ophthalmic
Chalazion,Erythromycin
Chalazion,Erythromycin Ophthalmic
Chalazion,Triamcinolone Topical Product
Chalazion,Gentamicin Ophthalmic
Chalazion,Loteprednol-Tobramycin Ophthalmic
Chalazion,Cefaclor (Ceclor)
Chalazion,Tobramycin Ophthalmic
Chalazion,Fluorescein
Chalazion,Ocular Lubricant
Chalazion,Ketorolac Ophthalmic Product
Chalazion,Ciprofloxacin Ophthalmic
Chalazion,Sodium Sulfacetamide Ophthalmic
Ovarian torsion,Progesterone
Ovarian torsion,Propofol
Ovarian torsion,Bupivacaine
Ovarian torsion,Collagen
Ovarian torsion,Cefoxitin
Ovarian torsion,Clorazepate
Ovarian torsion,Cellulose
Ovarian torsion,Sevoflurane
Ovarian torsion,Cyproheptadine
Ovarian torsion,Letrozole (Femara)
Ovarian torsion,Tamoxifen
Retinopathy due to high blood pressure,Insul
