Disease,CommonTestAndProcedure
Preeclampsia,Other diagnostic procedures (interview; evaluation; consultation)
Preeclampsia,Examination of breast
Ischemic heart disease,Hematologic tests (Blood test)
Ischemic heart disease,Electrocardiogram
Ischemic heart disease,Complete blood count (Cbc)
Ischemic heart disease,Glucose measurement (Glucose level)
Ischemic heart disease,Lipid panel
Ischemic heart disease,Ultrasonography (Ultrasound)
Ischemic heart disease,Electrolytes panel
Ischemic heart disease,Echocardiography
Neurofibromatosis,Magnetic resonance imaging (Mri)
Neurofibromatosis,Complete physical skin exam performed (ML)
Neurofibromatosis,Other diagnostic procedures (interview; evaluation; consultation)
Neurofibromatosis,Ophthalmologic and otologic diagnosis and treatment
Neurofibromatosis,Physical therapy exercises (Exercises)
Neurofibromatosis,Bone density scan
Neurofibromatosis,Biopsy
Neurofibromatosis,Electroencephalogram (EEG) (Eeg)
Chickenpox,Complete physical skin exam performed (ML)
Chickenpox,HIV screen (Hiv test)
Chickenpox,Human papillomavirus DNA detection
Pancreatic cancer,Hematologic tests (Blood test)
Pancreatic cancer,Complete blood count (Cbc)
Pancreatic cancer,Glucose measurement (Glucose level)
Pancreatic cancer,Electrolytes panel
Pancreatic cancer,X-ray computed tomography (Scan ct)
Pancreatic cancer,Hemoglobin A1c measurement (Hemoglobin a1c test)
Pancreatic cancer,Therapeutic radiology for cancer treatment (Irradiation)
Pancreatic cancer,Cancer chemotherapy (Chemotherapy)
Neuropathy due to drugs,Glucose measurement (Glucose level)
Neuropathy due to drugs,Other diagnostic procedures (interview; evaluation; consultation)
Neuropathy due to drugs,Examination of foot
Neuropathy due to drugs,Physical therapy exercises (Exercises)
Neuropathy due to drugs,Other non-OR therapeutic procedures on skin and breast
Neuropathy due to drugs,Blood alcohol
Neuropathy due to drugs,Toxicology screen
Neuropathy due to drugs,Corneal transplant
Croup,Nebulizer therapy
Croup,Influenzavirus antibody assay
Croup,Other respiratory therapy
Croup,Diagnostic bronchoscopy and biopsy of bronchus
Croup,Tracheoscopy and laryngoscopy with biopsy
Croup,Nonoperative urinary system measurements
Idiopathic excessive menstruation,Pelvis exam
Idiopathic excessive menstruation,Hematologic tests (Blood test)
Idiopathic excessive menstruation,Complete blood count (Cbc)
Idiopathic excessive menstruation,Urinalysis
Idiopathic excessive menstruation,Examination of breast
Idiopathic excessive menstruation,Ultrasonography (Ultrasound)
Idiopathic excessive menstruation,Standard pregnancy test
Idiopathic excessive menstruation,Biopsy
Amblyopia,Ophthalmologic and otologic diagnosis and treatment
Amblyopia,Ophthalmic examination and evaluation (Eye exam)
Amblyopia,Other therapeutic procedures on eyelids; conjunctiva; cornea
Amblyopia,Other therapeutic procedures
Amblyopia,Diagnostic procedures on eye
Amblyopia,Referral to home health care service
Meckel diverticulum,Excision (Removal)
Meckel diverticulum,X-ray computed tomography (Scan ct)
Meckel diverticulum,Intravenous fluid replacement
Meckel diverticulum,Complete blood count (Cbc)
Meckel diverticulum,Corneal transplant
Meckel diverticulum,Transurethral resection of prostate (TURP) (Turp)
Meckel diverticulum,Coronary thrombolysis
Meckel diverticulum,Control of epistaxis
Dislocation of the wrist,Plain x-ray (X ray)
Dislocation of the wrist,Radiographic imaging procedure
Dislocation of the wrist,Application of splint (Splinting)
Dislocation of the wrist,Arterial blood gases (ABGs)
Dislocation of the wrist,Physical therapy exercises (Exercises)
Dislocation of the wrist,Corneal transplant
Dislocation of the wrist,Procedures on spleen (Spleen operation)
Dislocation of the wrist,Removal of ectopic pregnancy
Ear drum damage,Ophthalmologic and otologic diagnosis and treatment
Ear drum damage,Other diagnostic procedures (interview; evaluation; consultation)
Ear drum damage,Excision (Removal)
Ear drum damage,Tympanoplasty
Ear drum damage,Nonoperative removal of foreign body
Ear drum damage,Other therapeutic procedures
Ear drum damage,Diagnostic procedures on ear
Ear drum damage,Occupational therapy assessment (Speech therapy)
Erectile dysfunction,Hematologic tests (Blood test)
Erectile dysfunction,Urinalysis
Erectile dysfunction,Prostate specific antigen measurement (Prostate specific antigen test)
Erectile dysfunction,Rectal examination
Erectile dysfunction,Lipid panel
Erectile dysfunction,Ultrasonography (Ultrasound)
Erectile dysfunction,Hemoglobin A1c measurement (Hemoglobin a1c test)
Erectile dysfunction,Other diagnostic procedures (interview; evaluation; consultation)
Temporary or benign blood in urine,Urinalysis
Temporary or benign blood in urine,Hematologic tests (Blood test)
Temporary or benign blood in urine,Radiographic imaging procedure
Temporary or benign blood in urine,Complete blood count (Cbc)
Temporary or benign blood in urine,X-ray computed tomography (Scan ct)
Temporary or benign blood in urine,Endoscopy and endoscopic biopsy of the urinary tract
Temporary or benign blood in urine,Glucose measurement (Glucose level)
Temporary or benign blood in urine,Electrolytes panel
Kidney disease due to longstanding hypertension,Hematologic tests (Blood test)
Kidney disease due to longstanding hypertension,Complete blood count (Cbc)
Kidney disease due to longstanding hypertension,Glucose measurement (Glucose level)
Kidney disease due to longstanding hypertension,Urinalysis
Kidney disease due to longstanding hypertension,Electrolytes panel
Kidney disease due to longstanding hypertension,Electrocardiogram
Kidney disease due to longstanding hypertension,Hemoglobin A1c measurement (Hemoglobin a1c test)
Kidney disease due to longstanding hypertension,Lipid panel
Chondromalacia of the patella,Radiographic imaging procedure
Chondromalacia of the patella,Plain x-ray (X ray)
Chondromalacia of the patella,Physical therapy exercises (Exercises)
Chondromalacia of the patella,Magnetic resonance imaging (Mri)
Chondromalacia of the patella,Other therapeutic procedures
Chondromalacia of the patella,Excision (Removal)
Chondromalacia of the patella,Examination of foot
Chondromalacia of the patella,Other non-OR therapeutic procedures on musculoskeletal system
Onychomycosis,Complete physical skin exam performed (ML)
Onychomycosis,Excision (Removal)
Onychomycosis,Examination of foot
Onychomycosis,Lipid panel
Onychomycosis,Wound care management
Onychomycosis,Other non-OR therapeutic procedures on skin and breast
Onychomycosis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Onychomycosis,Microscopic examination (bacterial smear; culture; toxicology)
Urethral disorder,Urinalysis
Urethral disorder,Pelvis exam
Urethral disorder,X-ray computed tomography (Scan ct)
Urethral disorder,Endoscopy and endoscopic biopsy of the urinary tract
Urethral disorder,Ultrasonography (Ultrasound)
Urethral disorder,Blood culture
Urethral disorder,Rectal examination
Urethral disorder,Biopsy
Lyme disease,Complete physical skin exam performed (ML)
Lyme disease,Magnetic resonance imaging (Mri)
Lyme disease,Diagnostic spinal tap (Spinal tap)
Lyme disease,Culture wound
Lyme disease,Incision and drainage (I d)
Lyme disease,Ophthalmologic and otologic diagnosis and treatment
Iron deficiency anemia,Hematologic tests (Blood test)
Iron deficiency anemia,Complete blood count (Cbc)
Iron deficiency anemia,Glucose measurement (Glucose level)
Iron deficiency anemia,Electrolytes panel
Iron deficiency anemia,Electrocardiogram
Iron deficiency anemia,Kidney function tests (Kidney function test)
Iron deficiency anemia,Complete physical skin exam performed (ML)
Iron deficiency anemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Acute respiratory distress syndrome (ARDS),Radiographic imaging procedure
Acute respiratory distress syndrome (ARDS),Hematologic tests (Blood test)
Acute respiratory distress syndrome (ARDS),Complete blood count (Cbc)
Acute respiratory distress syndrome (ARDS),Plain x-ray (X ray)
Acute respiratory distress syndrome (ARDS),Electrocardiogram
Acute respiratory distress syndrome (ARDS),Intravenous fluid replacement
Acute respiratory distress syndrome (ARDS),Kidney function tests (Kidney function test)
Acute respiratory distress syndrome (ARDS),Electrolytes panel
Toxic multinodular goiter,Hematologic tests (Blood test)
Toxic multinodular goiter,Complete physical skin exam performed (ML)
Toxic multinodular goiter,Lipid panel
Toxic multinodular goiter,Ultrasonography (Ultrasound)
Toxic multinodular goiter,Hemoglobin A1c measurement (Hemoglobin a1c test)
Toxic multinodular goiter,Examination of breast
Toxic multinodular goiter,Thyroidectomy; partial or complete
Toxic multinodular goiter,Excision (Removal)
Open wound of the finger,Suturing of wound
Open wound of the finger,Plain x-ray (X ray)
Open wound of the finger,Wound care management
Open wound of the finger,Application of splint (Splinting)
Open wound of the finger,Culture wound
Open wound of the finger,Nonoperative removal of foreign body
Open wound of the finger,Suture of skin and subcutaneous tissue
Open wound of the finger,Incision and drainage (I d)
Autonomic nervous system disorder,Complete physical skin exam performed (ML)
Autonomic nervous system disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Autonomic nervous system disorder,Other diagnostic procedures (interview; evaluation; consultation)
Autonomic nervous system disorder,Lipid panel
Autonomic nervous system disorder,Ultrasonography (Ultrasound)
Autonomic nervous system disorder,Wound care management
Autonomic nervous system disorder,Echocardiography
Autonomic nervous system disorder,Physical therapy exercises (Exercises)
Psychosexual disorder,Complete physical skin exam performed (ML)
Psychosexual disorder,Prostate specific antigen measurement (Prostate specific antigen test)
Psychosexual disorder,Psychotherapy
Psychosexual disorder,Lipid panel
Psychosexual disorder,Rectal examination
Psychosexual disorder,Examination of breast
Psychosexual disorder,Other diagnostic procedures (interview; evaluation; consultation)
Psychosexual disorder,Pelvis exam
Anemia,Hematologic tests (Blood test)
Anemia,Complete blood count (Cbc)
Anemia,Glucose measurement (Glucose level)
Anemia,Electrolytes panel
Anemia,Urinalysis
Anemia,Kidney function tests (Kidney function test)
Anemia,Electrocardiogram
Anemia,Intravenous fluid replacement
Tendinitis,Radiographic imaging procedure
Tendinitis,Plain x-ray (X ray)
Tendinitis,Physical therapy exercises (Exercises)
Tendinitis,Application of splint (Splinting)
Tendinitis,Magnetic resonance imaging (Mri)
Tendinitis,Examination of foot
Tendinitis,Other non-OR therapeutic procedures on musculoskeletal system
Tendinitis,Other therapeutic procedures
Common cold,Influenzavirus antibody assay
Common cold,Nebulizer therapy
Common cold,Other respiratory therapy
Common cold,Other therapeutic ear procedures
Common cold,Diagnostic procedures on ear
Amyotrophic lateral sclerosis (ALS),Occupational therapy assessment (Speech therapy)
Amyotrophic lateral sclerosis (ALS),Magnetic resonance imaging (Mri)
Amyotrophic lateral sclerosis (ALS),Complete physical skin exam performed (ML)
Amyotrophic lateral sclerosis (ALS),Other diagnostic procedures (interview; evaluation; consultation)
Amyotrophic lateral sclerosis (ALS),Physical therapy exercises (Exercises)
Amyotrophic lateral sclerosis (ALS),Mental health counseling
Amyotrophic lateral sclerosis (ALS),Referral to home health care service
Amyotrophic lateral sclerosis (ALS),Examination of foot
Central retinal artery or vein occlusion,Ophthalmic examination and evaluation (Eye exam)
Central retinal artery or vein occlusion,Ultrasonography (Ultrasound)
Central retinal artery or vein occlusion,Ophthalmologic and otologic diagnosis and treatment
Central retinal artery or vein occlusion,Other therapeutic procedures on eyelids; conjunctiva; cornea
Central retinal artery or vein occlusion,Echocardiography
Central retinal artery or vein occlusion,Diagnostic procedures on eye
Central retinal artery or vein occlusion,Other intraocular therapeutic procedures
Central retinal artery or vein occlusion,Other extraocular muscle and orbit therapeutic procedures
Paroxysmal supraventricular tachycardia,Hematologic tests (Blood test)
Paroxysmal supraventricular tachycardia,Electrocardiogram
Paroxysmal supraventricular tachycardia,Complete blood count (Cbc)
Paroxysmal supraventricular tachycardia,Radiographic imaging procedure
Paroxysmal supraventricular tachycardia,Intravenous fluid replacement
Paroxysmal supraventricular tachycardia,Plain x-ray (X ray)
Paroxysmal supraventricular tachycardia,Cardiac enzymes measurement (Cardiac enzymes test)
Paroxysmal supraventricular tachycardia,Kidney function tests (Kidney function test)
Venous insufficiency,Wound care management
Venous insufficiency,Complete physical skin exam performed (ML)
Venous insufficiency,Traction; splints; and other wound care
Venous insufficiency,Debridement of wound; infection or burn
Venous insufficiency,Ultrasonography (Ultrasound)
Venous insufficiency,Excision (Removal)
Venous insufficiency,Other diagnostic procedures (interview; evaluation; consultation)
Venous insufficiency,Examination of foot
Trichomonas infection,Urinalysis
Trichomonas infection,Hematologic tests (Blood test)
Trichomonas infection,Pelvis exam
Trichomonas infection,Complete blood count (Cbc)
Trichomonas infection,Standard pregnancy test
Trichomonas infection,Kidney function tests (Kidney function test)
Trichomonas infection,Glucose measurement (Glucose level)
Trichomonas infection,Electrolytes panel
Acne,Complete physical skin exam performed (ML)
Acne,Lipid panel
Acne,Excision (Removal)
Acne,Excision of skin lesion
Acne,Biopsy
Acne,Other therapeutic procedures
Acne,Depression screen (Depression screening)
Acne,Other non-OR therapeutic procedures on skin and breast
Depression,Psychotherapy
Depression,Mental health counseling
Depression,Depression screen (Depression screening)
Depression,Toxicology screen
Depression,Blood alcohol
Depression,Psychological and psychiatric evaluation and therapy
Depression,Diagnostic spinal tap (Spinal tap)
Depression,Alcohol and drug rehabilitation/detoxification
Drug abuse,Hematologic tests (Blood test)
Drug abuse,Complete blood count (Cbc)
Drug abuse,Urinalysis
Drug abuse,Mental health counseling
Drug abuse,Glucose measurement (Glucose level)
Drug abuse,Psychotherapy
Drug abuse,Kidney function tests (Kidney function test)
Drug abuse,Electrolytes panel
Urinary tract obstruction,Urinalysis
Urinary tract obstruction,Hematologic tests (Blood test)
Urinary tract obstruction,Radiographic imaging procedure
Urinary tract obstruction,Rectal examination
Urinary tract obstruction,Prostate specific antigen measurement (Prostate specific antigen test)
Urinary tract obstruction,X-ray computed tomography (Scan ct)
Urinary tract obstruction,Ultrasonography (Ultrasound)
Urinary tract obstruction,Endoscopy and endoscopic biopsy of the urinary tract
Diabetes insipidus,Hematologic tests (Blood test)
Diabetes insipidus,Complete physical skin exam performed (ML)
Diabetes insipidus,Cancer chemotherapy (Chemotherapy)
Diabetes insipidus,Ophthalmic examination and evaluation (Eye exam)
Diabetes insipidus,Depression screen (Depression screening)
Diabetes insipidus,Examination of foot
Diabetes insipidus,Rectal examination
Diabetes insipidus,Magnetic resonance imaging (Mri)
Iridocyclitis,Ophthalmic examination and evaluation (Eye exam)
Iridocyclitis,Other therapeutic procedures on eyelids; conjunctiva; cornea
Iridocyclitis,Ophthalmologic and otologic diagnosis and treatment
Iridocyclitis,Nonoperative removal of foreign body
Iridocyclitis,Repair of retinal tear; detachment
Iridocyclitis,Other extraocular muscle and orbit therapeutic procedures
Iridocyclitis,Diagnostic procedures on eye
Iridocyclitis,Other intraocular therapeutic procedures
Varicocele of the testicles,Urinalysis
Varicocele of the testicles,Ultrasonography (Ultrasound)
Varicocele of the testicles,Complete physical skin exam performed (ML)
Varicocele of the testicles,Prostate specific antigen measurement (Prostate specific antigen test)
Varicocele of the testicles,Rectal examination
Varicocele of the testicles,Other diagnostic procedures (interview; evaluation; consultation)
Varicocele of the testicles,Excision (Removal)
Varicocele of the testicles,Hemoglobin A1c measurement (Hemoglobin a1c test)
Irritable bowel syndrome,Hematologic tests (Blood test)
Irritable bowel syndrome,Complete blood count (Cbc)
Irritable bowel syndrome,Lipid panel
Irritable bowel syndrome,X-ray computed tomography (Scan ct)
Irritable bowel syndrome,Sigmoidoscopy or colonoscopy
Irritable bowel syndrome,Rectal examination
Irritable bowel syndrome,Pelvis exam
Irritable bowel syndrome,Liver function tests (Liver test)
Fracture of the foot,Radiographic imaging procedure
Fracture of the foot,Plain x-ray (X ray)
Fracture of the foot,Application of splint (Splinting)
Fracture of the foot,Examination of foot
Fracture of the foot,Wound care management
Fracture of the foot,Orthopedic casting
Fracture of the foot,Physical therapy exercises (Exercises)
Fracture of the foot,Traction; splints; and other wound care
Ovarian cyst,Radiographic imaging procedure
Ovarian cyst,Hematologic tests (Blood test)
Ovarian cyst,Urinalysis
Ovarian cyst,Complete blood count (Cbc)
Ovarian cyst,Standard pregnancy test
Ovarian cyst,Pelvis exam
Ovarian cyst,Intravenous fluid replacement
Ovarian cyst,X-ray computed tomography (Scan ct)
Chlamydia,Urinalysis
Chlamydia,Standard pregnancy test
Chlamydia,Pelvis exam
Chlamydia,Chlamydia test
Chlamydia,HIV screen (Hiv test)
Chlamydia,Microscopic examination (bacterial smear; culture; toxicology)
Chlamydia,Examination of breast
Chlamydia,Human papillomavirus DNA detection
Parasitic disease,Intravenous fluid replacement
Parasitic disease,Wound care management
Parasitic disease,Blood culture
Parasitic disease,Magnetic resonance imaging (Mri)
Parasitic disease,Incision and drainage (I d)
Parasitic disease,Other diagnostic procedures on skin and subcutaneous tissue
Parasitic disease,Culture wound
Parasitic disease,Diagnostic spinal tap (Spinal tap)
Fracture of the jaw,Radiographic imaging procedure
Fracture of the jaw,Plain x-ray (X ray)
Fracture of the jaw,X-ray computed tomography (Scan ct)
Fracture of the jaw,Intravenous fluid replacement
Fracture of the jaw,CAT scan of head (Head ct)
Fracture of the jaw,Kidney function tests (Kidney function test)
Fracture of the jaw,Electrolytes panel
Fracture of the jaw,Wound care management
Cytomegalovirus infection,Corneal transplant
Cytomegalovirus infection,Transurethral resection of prostate (TURP) (Turp)
Cytomegalovirus infection,Coronary thrombolysis
Cytomegalovirus infection,Control of epistaxis
Cytomegalovirus infection,CT scan abdomen (Ct of abdomen)
Cytomegalovirus infection,Procedures on spleen (Spleen operation)
Cytomegalovirus infection,Bone marrow transplant (Bmt)
Cytomegalovirus infection,Removal of ectopic pregnancy
Lipoma,Complete physical skin exam performed (ML)
Lipoma,Excision (Removal)
Lipoma,Wound care management
Lipoma,Excision of skin lesion
Lipoma,Biopsy
Lipoma,Examination of breast
Lipoma,Lipid panel
Lipoma,Ultrasonography (Ultrasound)
Female genitalia infection,Incision and drainage (I d)
Female genitalia infection,Pelvis exam
Female genitalia infection,Urinalysis
Female genitalia infection,Standard pregnancy test
Female genitalia infection,Wound care management
Female genitalia infection,Culture wound
Female genitalia infection,Excision (Removal)
Female genitalia infection,Other OR therapeutic procedures; female organs
Pulmonary hypertension,Radiographic imaging procedure
Pulmonary hypertension,Hematologic tests (Blood test)
Pulmonary hypertension,Electrocardiogram
Pulmonary hypertension,Ultrasonography (Ultrasound)
Pulmonary hypertension,Echocardiography
Pulmonary hypertension,Other diagnostic procedures (interview; evaluation; consultation)
Pulmonary hypertension,Cardiac enzymes measurement (Cardiac enzymes test)
Pulmonary hypertension,Lipid panel
Thyroid nodule,Radiographic imaging procedure
Thyroid nodule,Ultrasonography (Ultrasound)
Thyroid nodule,Complete physical skin exam performed (ML)
Thyroid nodule,Biopsy
Thyroid nodule,Lipid panel
Thyroid nodule,Examination of breast
Thyroid nodule,Excision (Removal)
Thyroid nodule,Mammography (Mammogram)
Broken tooth,CAT scan of head (Head ct)
Broken tooth,Wound care management
Broken tooth,Suturing of wound
Broken tooth,Culture wound
Dumping syndrome,Radiographic imaging procedure
Dumping syndrome,Cardiac enzymes measurement (Cardiac enzymes test)
Dumping syndrome,X-ray computed tomography (Scan ct)
Dumping syndrome,Kidney function tests (Kidney function test)
Dumping syndrome,Glucose measurement (Glucose level)
Dumping syndrome,Urinalysis
Dumping syndrome,Plain x-ray (X ray)
Dumping syndrome,Biopsy
Lymphadenitis,Hematologic tests (Blood test)
Lymphadenitis,Complete blood count (Cbc)
Lymphadenitis,X-ray computed tomography (Scan ct)
Lymphadenitis,Urinalysis
Lymphadenitis,Intravenous fluid replacement
Lymphadenitis,Kidney function tests (Kidney function test)
Lymphadenitis,Electrolytes panel
Lymphadenitis,Liver function tests (Liver test)
Injury to the face,Radiographic imaging procedure
Injury to the face,Plain x-ray (X ray)
Injury to the face,X-ray computed tomography (Scan ct)
Injury to the face,CAT scan of head (Head ct)
Injury to the face,Wound care management
Injury to the face,Suturing of wound
Injury to the face,Application of splint (Splinting)
Injury to the face,Blood alcohol
Aortic valve disease,Radiographic imaging procedure
Aortic valve disease,Electrocardiogram
Aortic valve disease,Ultrasonography (Ultrasound)
Aortic valve disease,Echocardiography
Aortic valve disease,Lipid panel
Aortic valve disease,Other diagnostic procedures (interview; evaluation; consultation)
Aortic valve disease,Diagnostic cardiac catheterization; coronary arteriography
Aortic valve disease,Cardiac stress tests
Rheumatoid arthritis,Hematologic tests (Blood test)
Rheumatoid arthritis,Complete blood count (Cbc)
Rheumatoid arthritis,Complete physical skin exam performed (ML)
Rheumatoid arthritis,Lipid panel
Rheumatoid arthritis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Rheumatoid arthritis,Magnetic resonance imaging (Mri)
Rheumatoid arthritis,Physical therapy exercises (Exercises)
Rheumatoid arthritis,Mammography (Mammogram)
Spermatocele,Urinalysis
Spermatocele,Prostate specific antigen measurement (Prostate specific antigen test)
Spermatocele,Ultrasonography (Ultrasound)
Spermatocele,Rectal examination
Spermatocele,Other diagnostic procedures (interview; evaluation; consultation)
Spermatocele,Other non-OR therapeutic procedures of urinary tract
Spermatocele,Nonoperative urinary system measurements
Spermatocele,Biopsy
Impetigo,Complete physical skin exam performed (ML)
Impetigo,Microscopic examination (bacterial smear; culture; toxicology)
Impetigo,Culture wound
Impetigo,Referral to home health care service
Impetigo,Other therapeutic ear procedures
Anal fistula,Rectal examination
Anal fistula,Wound care management
Anal fistula,Pelvis exam
Anal fistula,Sigmoidoscopy or colonoscopy
Anal fistula,Other OR lower GI therapeutic procedures
Anal fistula,Incision and drainage (I d)
Anal fistula,Colonoscopy and biopsy
Anal fistula,Other bowel diagnostic procedures
Hypothermia,Hematologic tests (Blood test)
Hypothermia,Electrocardiogram
Hypothermia,Complete blood count (Cbc)
Hypothermia,Urinalysis
Hypothermia,Plain x-ray (X ray)
Hypothermia,Radiographic imaging procedure
Hypothermia,Cardiac monitoring (Cardiac monitor)
Hypothermia,Intravenous fluid replacement
Oppositional disorder,Psychotherapy
Oppositional disorder,Mental health counseling
Oppositional disorder,Depression screen (Depression screening)
Oppositional disorder,Psychological and psychiatric evaluation and therapy
Oppositional disorder,Occupational therapy assessment (Speech therapy)
Oppositional disorder,Toxicology screen
Migraine,Intravenous fluid replacement
Migraine,X-ray computed tomography (Scan ct)
Migraine,CAT scan of head (Head ct)
Migraine,Magnetic resonance imaging (Mri)
Migraine,Other diagnostic procedures (interview; evaluation; consultation)
Migraine,Electroencephalogram (EEG) (Eeg)
Migraine,Other diagnostic nervous system procedures
Migraine,Other OR Rx procedures on respiratory system and mediastinum
Diabetic peripheral neuropathy,Hematologic tests (Blood test)
Diabetic peripheral neuropathy,Wound care management
Diabetic peripheral neuropathy,Glucose measurement (Glucose level)
Diabetic peripheral neuropathy,Complete physical skin exam performed (ML)
Diabetic peripheral neuropathy,Hemoglobin A1c measurement (Hemoglobin a1c test)
Diabetic peripheral neuropathy,Examination of foot
Diabetic peripheral neuropathy,Lipid panel
Diabetic peripheral neuropathy,Other diagnostic procedures (interview; evaluation; consultation)
Testicular disorder,Hematologic tests (Blood test)
Testicular disorder,Prostate specific antigen measurement (Prostate specific antigen test)
Testicular disorder,Urinalysis
Testicular disorder,Lipid panel
Testicular disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Testicular disorder,Rectal examination
Testicular disorder,Ultrasonography (Ultrasound)
Testicular disorder,Depression screen (Depression screening)
Gestational diabetes,Hematologic tests (Blood test)
Gestational diabetes,Urinalysis
Gestational diabetes,Glucose measurement (Glucose level)
Gestational diabetes,Ultrasonography (Ultrasound)
Gestational diabetes,Pelvis exam
Gestational diabetes,Hemoglobin A1c measurement (Hemoglobin a1c test)
Gestational diabetes,Examination of breast
Gestational diabetes,Fetal monitoring
Hidradenitis suppurativa,Complete physical skin exam performed (ML)
Hidradenitis suppurativa,Wound care management
Hidradenitis suppurativa,Examination of breast
Hidradenitis suppurativa,Excision (Removal)
Hidradenitis suppurativa,Incision and drainage (I d)
Hidradenitis suppurativa,Rectal examination
Hidradenitis suppurativa,Culture wound
Hidradenitis suppurativa,Other therapeutic procedures
Valley fever,Plain x-ray (X ray)
Valley fever,Radiographic imaging procedure
Valley fever,Hematologic tests (Blood test)
Valley fever,Complete blood count (Cbc)
